ID;Ndex;Pok‚mon;Alternativo;Cadena;Etapa;Nivel;Tipo1;Tipo2;Habilidad_1;Habilidad_2;Habilidad_3;FUE;VIT;ENE;SAB;DES;CAR;PS_min;Total_min;Velocidad
16_1;#0016;Pidgey;;Pidgey;B sico;Starter;Normal;Volador;Vistalince;Tumbos;Sacapecho;1;1;1;1;2;2;8;8;Suave
17_1;#0017;Pidgeotto;;Pidgey;Evoluci¢n;Begginer;Normal;Volador;Vistalince;Tumbos;Sacapecho;2;2;2;2;2;3;13;13;Normal
18_1;#0018;Pidgeot;;Pidgey;Avanzada;Ace;Normal;Volador;Vistalince;Tumbos;Sacapecho;3;3;2;2;4;3;17;17;Rapido
18_2;#0018;Pidgeot;Mega-Pidgeot;Pidgey;Mega;Legend;Normal;Volador;Indefenso;Indefenso;Indefenso;3;3;5;3;4;3;25;21;Rapido
19_1;#0019;Rattata;;Rattata;B sico;Starter;Normal;NA;Agallas;Fuga;Entusiasmo;2;1;1;1;2;2;8;9;Normal
19_2;#0019;Rattata;Forma de Alola;Rattata;B sico;Starter;Siniestro;Normal;Gula;Entusiasmo;Sebo;2;1;1;1;2;2;8;9;Normal
20_2;#0020;Raticate;Forma de Alola;Rattata;Avanzada;Amateur;Siniestro;Normal;Gula;Entusiasmo;Sebo;2;2;1;3;3;3;15;14;Normal
20_1;#0020;Raticate;;Rattata;Avanzada;Amateur;Normal;NA;Agallas;Fuga;Entusiasmo;3;2;2;2;3;3;15;15;Normal
21_1;#0021;Spearow;;Spearow;B sico;Starter;Normal;Volador;Vistalince;Vistalince;Francotirador;2;1;1;1;2;2;8;9;Normal
22_1;#0022;Fearow;;Spearow;Avanzada;Amateur;Normal;Volador;Vistalince;Vistalince;Francotirador;3;2;2;2;4;3;15;16;Rapido
23_1;#0023;Ekans;;Ekans;B sico;Begginer;Veneno;NA;Intimidacion;Mudar;Nerviosismo;2;1;1;2;2;2;10;10;Suave
24_1;#0024;Arbok;;Ekans;Evoluci¢n;Amateur;Veneno;NA;Intimidacion;Mudar;Nerviosismo;3;2;2;3;3;3;15;16;Normal
25_1;#0025;Pikachu;;Pichu;B sico;Begginer;Electrico;NA;Electricidadestatica;Electricidadestatica;Pararrayos;2;1;2;2;3;2;10;12;Normal
25_10;#0025;Pikachu;Gorra Trotamundos;Pikachu;B sico;Begginer;Electrico;NA;Electricidadestatica;Electricidadestatica;Pararrayos;2;1;2;2;3;2;10;12;Normal
25_2;#0025;Pikachu;Gorra Original;Pikachu;B sico;Begginer;Electrico;NA;Electricidadestatica;Electricidadestatica;Pararrayos;2;1;2;2;3;2;10;12;Normal
25_3;#0025;Pikachu;Gorra Hoenn;Pichu;B sico;Begginer;Electrico;NA;Electricidadestatica;Electricidadestatica;Pararrayos;2;1;2;2;3;2;10;12;Normal
25_4;#0025;Pikachu;Gorra Sinnoh;Pichu;B sico;Begginer;Electrico;NA;Electricidadestatica;Electricidadestatica;Pararrayos;2;1;2;2;3;2;10;12;Normal
25_5;#0025;Pikachu;Gorra Teselia;Pichu;B sico;Begginer;Electrico;NA;Electricidadestatica;Electricidadestatica;Pararrayos;2;1;2;2;3;2;10;12;Normal
25_6;#0025;Pikachu;Gorra Kalos;Pichu;B sico;Begginer;Electrico;NA;Electricidadestatica;Electricidadestatica;Pararrayos;2;1;2;2;3;2;10;12;Normal
25_7;#0025;Pikachu;Gorra Alola;Pichu;B sico;Begginer;Electrico;NA;Electricidadestatica;Electricidadestatica;Pararrayos;2;1;2;2;3;2;10;12;Normal
25_8;#0025;Pikachu;Gorra Compa¤ero;Pichu;B sico;Begginer;Electrico;NA;Electricidadestatica;Electricidadestatica;Pararrayos;2;1;2;2;3;2;10;12;Normal
25_9;#0025;Pikachu;Pikachu Inicial (Let's Go);Pichu;B sico;Amateur;Electrico;NA;Electricidadestatica;Electricidadestatica;Pararrayos;3;2;3;2;4;2;12;16;Rapido
26_1;#0026;Raichu;;Pikachu;Avanzada;Ace;Electrico;NA;Electricidadestatica;Electricidadestatica;Pararrayos;3;2;3;3;4;3;17;18;Rapido
26_2;#0026;Raichu;Forma de Alola;Pikachu;Avanzada;Ace;Electrico;Psiquico;Colasurf;Colasurf;Colasurf;3;2;3;3;4;3;17;18;Rapido
27_1;#0027;Sandshrew;;Sandshrew;B sico;Begginer;Tierra;NA;Veloarena;Veloarena;impetuarena;3;3;1;1;1;3;13;12;Suave
27_2;#0027;Sandshrew;Forma de Alola;Sandshrew;B sico;Begginer;Hielo;Acero;Mantoniveo;Mantoniveo;Quitanieves;3;3;1;1;1;3;13;12;Suave
28_1;#0028;Sandslash;;Sandshrew;Avanzada;Amateur;Tierra;NA;Veloarena;Veloarena;impetuarena;4;4;1;2;2;3;15;16;Normal
28_2;#0028;Sandslash;Forma de Alola;Sandshrew;Avanzada;Amateur;Hielo;Acero;Mantoniveo;Mantoniveo;Quitanieves;4;4;1;2;2;3;15;16;Normal
29_1;#0029;Nidoran?;;Nidoran?;B sico;Starter;Veneno;NA;Puntotoxico;Rivalidad;Entusiasmo;1;2;1;1;1;3;11;9;Suave
30_1;#0030;Nidorina;;Nidoran?;Evoluci¢n;Begginer;Veneno;NA;Puntotoxico;Rivalidad;Entusiasmo;2;2;2;2;2;3;13;13;Suave
31_1;#0031;Nidoqueen;;Nidoran?;Avanzada;Ace;Veneno;Tierra;Puntotoxico;Rivalidad;Potenciabruta;3;3;3;3;3;3;17;18;Normal
32_1;#0032;Nidoran?;;Nidoran?;B sico;Starter;Veneno;NA;Puntotoxico;Rivalidad;Entusiasmo;2;1;1;1;2;2;8;9;Suave
33_1;#0033;Nidorino;;Nidoran?;Evoluci¢n;Begginer;Veneno;NA;Puntotoxico;Rivalidad;Entusiasmo;2;2;2;2;2;3;13;13;Normal
34_1;#0034;Nidoking;;Nidoran?;Avanzada;Pro;Veneno;Tierra;Puntotoxico;Rivalidad;Potenciabruta;4;3;3;3;3;3;19;19;Normal
35_1;#0035;Clefairy;;Cleffa;Evoluci¢n;Begginer;Hada;NA;Granencanto;Muromagico;Compiescolta;1;1;2;2;1;3;13;10;Lento
36_1;#0036;Clefable;;Cleffa;Avanzada;Amateur;Hada;NA;Granencanto;Muromagico;Ignorante;2;2;3;3;2;3;15;15;Suave
37_1;#0037;Vulpix;;Vulpix;B sico;Begginer;Fuego;NA;Absorbefuego;Absorbefuego;Sequia;1;1;2;2;2;2;10;10;Normal
37_2;#0037;Vulpix;Forma de Alola;Vulpix;B sico;Begginer;Hielo;NA;Mantoniveo;Mantoniveo;Nevada;1;1;2;2;2;2;10;10;Normal
38_2;#0038;Ninetales;Forma de Alola;Vulpix;Avanzada;Pro;Hielo;Hada;Mantoniveo;Mantoniveo;Nevada;2;3;3;4;4;3;19;19;Rapido
38_1;#0038;Ninetales;;Vulpix;Avanzada;Pro;Fuego;NA;Absorbefuego;Absorbefuego;Sequia;3;3;3;4;4;3;19;20;Rapido
39_1;#0039;Jigglypuff;;Jigglypuff;B sico;Starter;Normal;Hada;Granencanto;Tenacidad;Compiescolta;1;1;1;1;1;4;14;9;Lento
40_1;#0040;Wigglytuff;;Jigglypuff;Avanzada;Begginer;Normal;Hada;Granencanto;Tenacidad;Cacheo;2;1;3;2;1;4;16;13;Suave
41_1;#0041;Zubat;;Zubat;B sico;Starter;Veneno;Volador;Fuerzamental;Fuerzamental;Allanamiento;1;1;1;1;2;2;8;8;Suave
42_1;#0042;Golbat;;Zubat;Avanzada;Amateur;Veneno;Volador;Fuerzamental;Fuerzamental;Allanamiento;3;2;2;3;3;3;15;16;Normal
43_1;#0043;Oddish;;Oddish;B sico;Begginer;Planta;Veneno;Clorofila;Clorofila;Fuga;2;2;3;2;1;2;10;12;Lento
44_1;#0044;Gloom;;Oddish;Evoluci¢n;Amateur;Planta;Veneno;Clorofila;Clorofila;Hedor;2;2;3;3;1;3;15;14;Suave
45_1;#0045;Vileplume;;Oddish;Avanzada;Ace;Planta;Veneno;Clorofila;Clorofila;Efectoespora;3;3;4;3;2;3;17;18;Suave
46_1;#0046;Paras;;Paras;B sico;Begginer;Bicho;Planta;Efectoespora;Pielseca;Humedad;2;2;1;2;1;2;10;10;Lento
47_1;#0047;Parasect;;Paras;Evoluci¢n;Amateur;Bicho;Planta;Efectoespora;Pielseca;Humedad;3;3;2;3;1;3;15;15;Lento
48_1;#0048;Venonat;;Venonat;B sico;Begginer;Bicho;Veneno;Ojocompuesto;Cromolente;Fuga;2;2;1;2;1;3;13;11;Suave
49_1;#0049;Venomoth;;Venonat;Evoluci¢n;Amateur;Bicho;Veneno;Polvoescudo;Cromolente;Pielmilagro;2;2;3;3;3;3;15;16;Normal
50_1;#0050;Diglett;;Diglett;B sico;Begginer;Tierra;NA;Trampaarena;Veloarena;Poderarena;2;1;1;1;3;2;10;10;Normal
50_2;#0050;Diglett;Forma de Alola;Diglett;B sico;Begginer;Tierra;Acero;Veloarena;Rizosrebeldes;Poderarena;2;1;1;1;3;2;10;10;Normal
51_1;#0051;Dugtrio;;Diglett;Avanzada;Amateur;Tierra;NA;Trampaarena;Veloarena;Poderarena;4;2;2;2;4;2;12;16;Rapido
51_2;#0051;Dugtrio;Forma de Alola;Diglett;Avanzada;Amateur;Tierra;Acero;Veloarena;Rizosrebeldes;Poderarena;4;2;2;2;4;2;12;16;Rapido
52_1;#0052;Meowth;;Meowth;B sico;Starter;Normal;NA;Recogida;Experto;Nerviosismo;1;1;1;1;3;2;8;9;Normal
52_2;#0052;Meowth;Forma de Alola;Meowth;B sico;Begginer;Siniestro;NA;Recogida;Experto;Cobardia;1;1;2;1;3;2;10;10;Normal
52_3;#0052;Meowth;Forma de Galar;Meowth (Galar);B sico;Begginer;Acero;NA;Recogida;Garradura;Nerviosismo;2;2;1;1;1;3;13;10;Suave
53_1;#0053;Persian;;Meowth;Avanzada;Amateur;Normal;NA;Flexibilidad;Experto;Nerviosismo;2;2;2;2;4;3;15;15;Rapido
53_2;#0053;Persian;Forma de Alola;Meowth;Avanzada;Amateur;Siniestro;NA;Pelajerecio;Experto;Cobardia;2;2;3;2;4;3;15;16;Rapido
54_1;#0054;Psyduck;;Psyduck;B sico;Begginer;Agua;NA;Humedad;Aclimatacion;Nadorapido;2;1;2;2;2;3;13;12;Suave
55_1;#0055;Golduck;;Psyduck;Avanzada;Ace;Agua;NA;Aclimatacion;Humedad;Nadorapido;3;3;3;3;3;3;17;18;Normal
56_1;#0056;Mankey;;Mankey;B sico;Begginer;Lucha;NA;Espirituvital;Irascible;Competitivo;3;1;1;1;2;2;10;10;Normal
57_1;#0057;Primeape;;Mankey;Avanzada;Amateur;Lucha;NA;Espirituvital;Irascible;Competitivo;4;2;2;2;3;3;15;16;Normal
58_1;#0058;Growlithe;;Growlithe;B sico;Begginer;Fuego;NA;Intimidacion;Absorbefuego;Justiciero;2;1;2;2;2;3;13;12;Suave
58_2;#0058;Growlithe;Forma de Hisui;Growlithe (Hisui);B sico;Begginer;Fuego;Roca;Intimidacion;Absorbefuego;Cabezaroca;3;1;2;2;2;3;13;13;Suave
59_2;#0059;Arcanine;Forma de Hisui;Growlithe (Hisui);Evoluci¢n;Pro;Fuego;Roca;Intimidacion;Absorbefuego;Cabezaroca;4;3;3;3;3;3;19;19;Normal
59_1;#0059;Arcanine;;Growlithe;Avanzada;Pro;Fuego;NA;Intimidacion;Absorbefuego;Justiciero;4;3;4;3;3;3;19;20;Normal
60_1;#0060;Poliwag;;Poliwag;B sico;Begginer;Agua;NA;Absorbeagua;Humedad;Nadorapido;2;1;1;1;3;2;10;10;Normal
61_1;#0061;Poliwhirl;;Poliwag;Evoluci¢n;Amateur;Agua;NA;Absorbeagua;Humedad;Nadorapido;2;2;2;2;3;3;15;14;Normal
62_1;#0062;Poliwrath;;Poliwag;Avanzada;Amateur;Agua;Lucha;Absorbeagua;Humedad;Nadorapido;3;3;2;3;2;3;15;16;Normal
63_1;#0063;Abra;;Abra;B sico;Begginer;Psiquico;NA;Sincronia;Fuerzamental;Muromagico;1;1;4;2;3;2;10;13;Normal
64_1;#0064;Kadabra;;Abra;Evoluci¢n;Amateur;Psiquico;NA;Sincronia;Fuerzamental;Muromagico;1;1;4;2;4;2;12;14;Rapido
65_1;#0065;Alakazam;;Abra;Avanzada;Ace;Psiquico;NA;Sincronia;Fuerzamental;Muromagico;2;1;5;3;4;3;17;18;Rapido
65_2;#0065;Alakazam;Mega-Alakazam;Abra;Mega;Legend;Psiquico;NA;Calco;Calco;Calco;2;2;7;4;6;3;25;24;Fugaz
66_1;#0066;Machop;;Machop;B sico;Begginer;Lucha;NA;Agallas;Indefenso;Impasible;3;2;1;1;1;3;13;11;Lento
67_1;#0067;Machoke;;Machop;Evoluci¢n;Amateur;Lucha;NA;Agallas;Indefenso;Impasible;4;2;2;2;1;3;15;14;Suave
68_1;#0068;Machamp;;Machop;Avanzada;Ace;Lucha;NA;Agallas;Indefenso;Impasible;5;3;2;3;2;3;17;18;Suave
69_1;#0069;Bellsprout;;Bellsprout;B sico;Begginer;Planta;Veneno;Clorofila;Clorofila;Gula;3;1;2;1;1;3;13;11;Suave
70_1;#0070;Weepinbell;;Bellsprout;Evoluci¢n;Amateur;Planta;Veneno;Clorofila;Clorofila;Gula;3;2;3;1;2;3;15;14;Suave
71_1;#0071;Victreebel;;Bellsprout;Avanzada;Ace;Planta;Veneno;Clorofila;Clorofila;Gula;4;2;4;2;2;3;17;17;Normal
72_1;#0072;Tentacool;;Tentacool;B sico;Begginer;Agua;Veneno;Cuerpopuro;Viscosecrecion;Curalluvia;1;1;2;4;2;2;10;12;Normal
73_1;#0073;Tentacruel;;Tentacool;Evoluci¢n;Ace;Agua;Veneno;Cuerpopuro;Viscosecrecion;Curalluvia;2;2;3;4;4;3;17;18;Rapido
74_1;#0074;Geodude;;Geodude;B sico;Begginer;Roca;Tierra;Cabezaroca;Robustez;Veloarena;3;4;1;1;1;2;10;12;Lento
74_2;#0074;Geodude;Forma de Alola;Geodude (Alola);B sico;Begginer;Roca;Electrico;Iman;Robustez;Pielelectrica;3;4;1;1;1;2;10;12;Lento
75_1;#0075;Graveler;;Geodude;Evoluci¢n;Begginer;Roca;Tierra;Cabezaroca;Robustez;Veloarena;3;4;1;1;1;3;13;13;Lento
75_2;#0075;Graveler;Forma de Alola;Geodude (Alola);Evoluci¢n;Begginer;Roca;Electrico;Iman;Robustez;Pielelectrica;3;4;1;1;1;3;13;13;Lento
76_1;#0076;Golem;;Geodude;Avanzada;Ace;Roca;Tierra;Cabezaroca;Robustez;Veloarena;4;5;2;2;1;3;17;17;Suave
76_2;#0076;Golem;Forma de Alola;Geodude (Alola);Avanzada;Ace;Roca;Electrico;Iman;Robustez;Pielelectrica;4;5;2;2;1;3;17;17;Suave
77_1;#0077;Ponyta;;Ponyta;B sico;Amateur;Fuego;NA;Fuga;Absorbefuego;Cuerpollama;3;2;2;2;3;3;15;15;Normal
77_2;#0077;Ponyta;Forma de Galar;Ponyta (Galar);B sico;Amateur;Psiquico;NA;Fuga;Velopastel;Anticipacion;3;2;2;2;3;3;15;15;Normal
78_1;#0078;Rapidash;;Ponyta;Avanzada;Pro;Fuego;NA;Fuga;Absorbefuego;Cuerpollama;4;2;3;3;4;3;19;19;Rapido
78_2;#0078;Rapidash;Forma de Galar;Ponyta (Galar);Evoluci¢n;Pro;Psiquico;Hada;Fuga;Velopastel;Anticipacion;4;2;3;3;4;3;19;19;Rapido
79_1;#0079;Slowpoke;;Slowpoke;B sico;Begginer;Agua;Psiquico;Despiste;Ritmopropio;Regeneracion;2;2;1;1;1;3;13;10;Lento
79_2;#0079;Slowpoke;Forma de Galar;Slowpoke (Galar);B sico;Begginer;Psiquico;NA;Gula;Ritmopropio;Regeneracion;2;2;1;1;1;3;13;10;Lento
80_3;#0080;Slowbro;Forma de Galar;Slowpoke (Galar);Evoluci¢n;Ace;Veneno;Psiquico;Manorapida;Ritmopropio;Regeneracion;4;3;4;2;1;3;17;17;Lento
80_1;#0080;Slowbro;;Slowpoke;Avanzada;Ace;Agua;Psiquico;Despiste;Ritmopropio;Regeneracion;3;4;4;3;1;3;17;18;Lento
80_2;#0080;Slowbro;Mega-Slowbro;Slowpoke;Mega;Legend;Agua;Psiquico;Caparazon;Caparazon;Caparazon;3;7;5;3;1;3;25;22;Lento
81_1;#0081;Magnemite;;Magnemite;B sico;Begginer;Electrico;Acero;Iman;Robustez;Calculofinal;1;2;3;2;1;2;10;11;Suave
82_1;#0082;Magneton;;Magnemite;Avanzada;Amateur;Electrico;Acero;Iman;Robustez;Calculofinal;2;3;4;2;2;3;15;16;Normal
83_1;#0083;Farfetch'd;;Farfetch'd;B sico;Amateur;Normal;Volador;Vistalince;Fuerzamental;Competitivo;3;2;2;2;2;3;15;14;Suave
83_2;#0083;Farfetch'd;Forma de Galar;Farfetch'd (Galar);B sico;Amateur;Lucha;NA;Impasible;Impasible;Intrepido;3;2;2;2;2;3;15;14;Suave
84_1;#0084;Doduo;;Doduo;B sico;Begginer;Normal;Volador;Fuga;Madrugar;Tumbos;3;1;1;1;3;2;10;11;Normal
85_1;#0085;Dodrio;;Doduo;Avanzada;Ace;Normal;Volador;Fuga;Madrugar;Tumbos;4;2;2;2;4;3;17;17;Rapido
86_1;#0086;Seel;;Seel;B sico;Begginer;Agua;NA;Sebo;Hidratacion;Gelido;1;2;1;2;1;3;13;10;Suave
87_1;#0087;Dewgong;;Seel;Avanzada;Amateur;Agua;Hielo;Sebo;Hidratacion;Gelido;2;3;2;3;2;3;15;15;Normal
88_1;#0088;Grimer;;Grimer;B sico;Begginer;Veneno;NA;Hedor;Viscosidad;Toquetoxico;3;2;1;2;1;3;13;12;Lento
88_2;#0088;Grimer;Forma de Alola;Grimer (Alola);B sico;Begginer;Veneno;Siniestro;Toquetoxico;Gula;Reaccionquimica;3;2;1;2;1;3;13;12;Lento
89_1;#0089;Muk;;Grimer;Avanzada;Pro;Veneno;NA;Hedor;Viscosidad;Toquetoxico;4;3;2;4;2;4;22;19;Suave
89_2;#0089;Muk;Forma de Alola;Grimer (Alola);Evoluci¢n;Pro;Veneno;Siniestro;Toquetoxico;Gula;Reaccionquimica;4;3;2;4;2;4;22;19;Suave
90_1;#0090;Shellder;;Shellder;B sico;Begginer;Agua;NA;Caparazon;Encadenado;Funda;2;4;1;1;1;2;10;11;Suave
91_1;#0091;Cloyster;;Shellder;Evoluci¢n;Pro;Agua;Hielo;Caparazon;Encadenado;Funda;3;7;3;1;2;3;19;19;Normal
92_1;#0092;Gastly;;Gastly;B sico;Begginer;Fantasma;Veneno;Levitacion;Levitacion;Levitacion;1;1;4;1;3;2;10;12;Normal
93_1;#0093;Haunter;;Gastly;Evoluci¢n;Amateur;Fantasma;Veneno;Levitacion;Levitacion;Levitacion;2;1;4;2;3;2;12;14;Normal
94_1;#0094;Gengar;;Gastly;Avanzada;Pro;Fantasma;Veneno;Cuerpomaldito;Cuerpomaldito;Cuerpomaldito;2;2;5;3;4;3;19;19;Rapido
94_2;#0094;Gengar;Mega-Gengar;Gastly;Mega;Legend;Fantasma;Veneno;Sombratrampa;Sombratrampa;Sombratrampa;2;3;6;3;5;3;25;22;Rapido
95_1;#0095;Onix;;Onix;B sico;Begginer;Roca;Tierra;Cabezaroca;Robustez;Armadurafragil;1;6;1;1;2;2;10;13;Normal
96_1;#0096;Drowzee;;Drowzee;B sico;Begginer;Psiquico;NA;Insomnio;Alerta;Fuerzamental;1;1;1;3;1;3;13;10;Suave
97_1;#0097;Hypno;;Drowzee;Avanzada;Amateur;Psiquico;NA;Insomnio;Alerta;Fuerzamental;2;2;2;4;2;3;15;15;Normal
98_1;#0098;Krabby;;Krabby;B sico;Begginer;Agua;NA;Caparazon;Cortefuerte;Potenciabruta;4;3;1;1;2;2;10;13;Suave
99_1;#0099;Kingler;;Krabby;Avanzada;Pro;Agua;NA;Caparazon;Cortefuerte;Potenciabruta;5;4;2;2;3;3;19;19;Normal
100_1;#0100;Voltorb;;Voltorb;B sico;Begginer;Electrico;NA;Insonorizar;Electricidadestatica;Detonacion;1;2;2;2;4;2;10;13;Rapido
100_2;#0100;Voltorb;Forma de Hisui;Voltorb (Hisui);B sico;Begginer;Electrico;Planta;Insonorizar;Electricidadestatica;Detonacion;1;2;2;2;4;2;10;13;Rapido
101_1;#0101;Electrode;;Voltorb;Avanzada;Pro;Electrico;NA;Insonorizar;Electricidadestatica;Detonacion;2;2;3;3;6;3;19;19;Rapido
101_2;#0101;Electrode;Forma de Hisui;Voltorb (Hisui);Evoluci¢n;Pro;Electrico;Planta;Insonorizar;Electricidadestatica;Detonacion;2;2;3;3;6;3;19;19;Rapido
102_1;#0102;Exeggcute;;Exeggcute;B sico;Begginer;Planta;Psiquico;Clorofila;Clorofila;Cosecha;1;3;2;1;1;3;13;11;Suave
103_1;#0103;Exeggutor;;Exeggcute;Avanzada;Pro;Planta;Psiquico;Clorofila;Clorofila;Cosecha;3;3;5;3;2;3;19;19;Suave
103_2;#0103;Exeggutor;Forma de Alola;Exeggcute;Evoluci¢n;Pro;Planta;Dragon;Cacheo;Cacheo;Cosecha;4;3;5;3;1;3;19;19;Suave
104_1;#0104;Cubone;;Cubone;B sico;Begginer;Tierra;NA;Cabezaroca;Pararrayos;Armadurabatalla;2;3;1;2;1;3;13;12;Lento
105_1;#0105;Marowak;;Cubone;Avanzada;Amateur;Tierra;NA;Cabezaroca;Pararrayos;Armadurabatalla;3;4;2;3;1;3;15;16;Suave
105_2;#0105;Marowak;Forma de Alola;Cubone;Evoluci¢n;Amateur;Fuego;Fantasma;Cuerpomaldito;Pararrayos;Cabezaroca;3;4;2;3;1;3;15;16;Suave
106_1;#0106;Hitmonlee;;Tyrogue;Avanzada;Ace;Lucha;NA;Flexibilidad;Audaz;Liviano;4;2;1;4;3;3;17;17;Normal
107_1;#0107;Hitmonchan;;Tyrogue;Avanzada;Ace;Lucha;NA;Vistalince;Pu¤oferreo;Fuerzamental;4;3;1;4;3;3;17;18;Normal
108_1;#0108;Lickitung;;Lickitung;B sico;Amateur;Normal;NA;Despiste;Ritmopropio;Aclimatacion;2;3;2;3;1;3;15;14;Lento
109_1;#0109;Koffing;;Koffing;B sico;Begginer;Veneno;NA;Levitacion;Gasreactivo;Hedor;2;3;2;1;1;2;10;11;Lento
110_1;#0110;Weezing;;Koffing;Avanzada;Ace;Veneno;NA;Levitacion;Gasreactivo;Hedor;3;4;3;2;2;3;17;17;Suave
110_2;#0110;Weezing;Forma de Galar;Koffing;Evoluci¢n;Ace;Veneno;Hada;Levitacion;Gasreactivo;Nebulogenesis;3;4;3;2;2;3;17;17;Suave
111_1;#0111;Rhyhorn;;Rhyhorn;B sico;Begginer;Tierra;Roca;Pararrayos;Cabezaroca;Audaz;3;3;1;1;1;3;13;12;Lento
112_1;#0112;Rhydon;;Rhyhorn;Avanzada;Amateur;Tierra;Roca;Pararrayos;Cabezaroca;Audaz;5;4;1;1;1;4;18;16;Suave
113_1;#0113;Chansey;;Chansey;B sico;Amateur;Normal;NA;Curanatural;Dicha;Almacura;1;1;1;4;2;7;27;16;Suave
114_1;#0114;Tangela;;Tangela;B sico;Amateur;Planta;NA;Clorofila;Defensahoja;Regeneracion;2;4;4;1;2;3;15;16;Suave
115_1;#0115;Kangaskhan;;Kangaskhan;Inicial;Ace;Normal;NA;Madrugar;Intrepido;Fuerzamental;3;3;1;3;3;4;20;17;Normal
115_2;#0115;Kangaskhan;Mega-Kangaskhan;Kangaskhan;Mega;Legend;Normal;NA;Amorfilial;Amorfilial;Amorfilial;5;4;2;4;4;4;28;23;Fugaz
116_1;#0116;Horsea;;Horsea;B sico;Begginer;Agua;NA;Nadorapido;Francotirador;Humedad;1;2;2;1;2;2;10;10;Suave
117_1;#0117;Seadra;;Horsea;Avanzada;Amateur;Agua;NA;Puntotoxico;Francotirador;Humedad;2;3;3;1;3;3;15;15;Normal
118_1;#0118;Goldeen;;Goldeen;B sico;Begginer;Agua;NA;Nadorapido;Veloagua;Pararrayos;2;2;1;2;2;2;10;11;Normal
119_1;#0119;Seaking;;Goldeen;Avanzada;Amateur;Agua;NA;Nadorapido;Veloagua;Pararrayos;3;2;2;3;2;3;15;15;Normal
120_1;#0120;Staryu;;Staryu;B sico;Begginer;Agua;NA;Curanatural;Iluminacion;Calculofinal;1;2;2;2;3;2;10;12;Normal
