ID;Movimiento;Tipo;DMG;CD;Tiempo;Atributo;Habilidad;Acc;Efecto;Efecto RPG;Base;Blanco;Prioridad;Distancia;Categoria;Nivel;Name;Comando;Moves
ID_13;Viento Cortante;Normal;DB + 1d8;1 Ronda;3 Acciones;Destreza;Canalizar;+1;Debe cargarse el primer turno para golpear en el segundo. Alta probabilidad de Golpe Critico.;Reduce valor critico en 1;Especial;Oponentes;-2;Area (10ft);"Carga; Preciso";Ace;Viento Cortante (3A);"/me Viento Cortante
Nivel: Ace (CD: 14)
/r 1d20 + [[@{Destreza} + @{Canalizar} +@{Precision} +1]]
Tipo: Normal ; Da§o:
[[@{Energia} + 1d8]]
CoolDown: 1 Ronda ; Tiempo: 3 Acciones
Prioridad: -2
Efecto: Reduce valor critico en 1
Tags: Area (10ft)/ Blanco: Oponentes/ Tags: Carga; Preciso";Razor Wind
ID_15;Corte;Normal;DB + 1d6;0 Rondas;2 Acciones;Destreza;Combatir;+0;Ninguno.;-;Fisico;Elegido;0;Contacto (5ft);Corte;Begginer;Corte (2A);"/me Corte
Nivel: Begginer (CD: 6)
/r 1d20 + [[@{Destreza} + @{Combatir} +@{Precision} +0]]
Tipo: Normal ; Da§o:
[[@{Fuerza} + 1d6]]
CoolDown: 0 Rondas ; Tiempo: 2 Acciones
Prioridad: 0
Efecto: -
Tags: Contacto (5ft)/ Blanco: Elegido/ Tags: Corte";Cut
ID_17;Ataque Ala;Volador;DB + 1d6 + 1;2 / Ronda;2 Acciones;Destreza;Combatir;+1;Ninguno.;-;Fisico;Elegido;0;Contacto (5ft);-;Begginer;Ataque Ala (2A);"/me Ataque Ala
Nivel: Begginer (CD: 6)
/r 1d20 + [[@{Destreza} + @{Combatir} +@{Precision} +1]]
Tipo: Volador ; Da§o:
[[@{Fuerza} + 1d6 + 1]]
CoolDown: 2 / Ronda ; Tiempo: 2 Acciones
Prioridad: 0
Efecto: -
Tags: Contacto (5ft)/ Blanco: Elegido/ Tags: -";Wing Attack
ID_18;Remolino;Normal;DB + 1d6 + 1;1 Ronda;2 Acciones;Destreza;Naturaleza;+0;El Pokemon rival es intercambiado por otro al azar del entrenador rival. Si es salvaje, huira.;Cualquier objetivo en rango es empujado 40 pies, y se reduce 5 pies por VIT del objetivo.;Especial;Area;-5;Area (10ft);-;Begginer;Remolino (2A);"/me Remolino
Nivel: Begginer (CD: 6)
/r 1d20 + [[@{Destreza} + @{Naturaleza} +@{Precision} +0]]
Tipo: Normal ; Da§o:
[[@{Energia} + 1d6 + 1]]
CoolDown: 1 Ronda ; Tiempo: 2 Acciones
Prioridad: -5
Efecto: Cualquier objetivo en rango es empujado 40 pies, y se reduce 5 pies por VIT del objetivo.
Tags: Area (10ft)/ Blanco: Area/ Tags: -";Whirlwind
ID_20;Atadura;Normal;DB;0 Rondas;2 Acciones;Destreza;Atletismo;-2;El Pokemon rival permanece atrapado de 4 a 5 turnos, recibiendo un da§o del 12.5% del PS cada turno.;Bloquea al Blanco. Inflige 1 de Da§o al final de la Ronda;Fisico;Elegido;0;Contacto (5ft);Prision;Starter;Atadura (2A);"/me Atadura
Nivel: Starter (CD: 2)
/r 1d20 + [[@{Destreza} + @{Atletismo} +@{Precision} -2]]
Tipo: Normal ; Da§o:
[[@{Fuerza}]]
CoolDown: 0 Rondas ; Tiempo: 2 Acciones
Prioridad: 0
Efecto: Bloquea al Blanco. Inflige 1 de Da§o al final de la Ronda
Tags: Contacto (5ft)/ Blanco: Elegido/ Tags: Prision";Bind
ID_21;Atizar;Normal;DB + 1d8;0 Rondas;2 Acciones;Destreza;Combatir;-3;Ninguno.;-;Fisico;Elegido;0;Contacto (5ft);-;Amateur;Atizar (2A);"/me Atizar
Nivel: Amateur (CD: 10)
/r 1d20 + [[@{Destreza} + @{Combatir} +@{Precision} -3]]
Tipo: Normal ; Da§o:
[[@{Fuerza} + 1d8]]
CoolDown: 0 Rondas ; Tiempo: 2 Acciones
Prioridad: 0
Efecto: -
Tags: Contacto (5ft)/ Blanco: Elegido/ Tags: -";Slam
ID_22;Latigo Cepa;Planta;DB + 1d4 + 1;0 Rondas;2-3 Acciones;Destreza;Combatir;+1;Ninguno.;Si usa una tercera accion Bloquea al blanco;Fisico;Elegido;0;Corta (10ft);Prision;Amateur;#N/D;"/me Latigo Cepa
Nivel: Amateur (CD: 10)
/r 1d20 + [[@{Destreza} + @{Combatir} +@{Precision} +1]]
Tipo: Planta ; Da§o:
[[@{Fuerza} + 1d4 + 1]]
CoolDown: 0 Rondas ; Tiempo: 2-3 Acciones
Prioridad: 0
Efecto: Si usa una tercera accion Bloquea al blanco
Tags: Corta (10ft)/ Blanco: Elegido/ Tags: Prision";Vine Whip
ID_23;Pisoton;Normal;DB + 1d6 + 1;0 Rondas;2 Acciones;Destreza;Combatir;+1;30% de hacer retroceder al rival. Golpea a Pokemon que han usado Reduccion con el doble de poder base e ignorando su Evasion.;"CD 14 de causar Retroceso. Siempre es Critico si el objetivo ha usado Reduccion.
/r [[1d20]]";Fisico;Elegido;0;Contacto (5ft);Retroceso;Begginer;Pisoton (2A);"/me Pisoton
Nivel: Begginer (CD: 6)
/r 1d20 + [[@{Destreza} + @{Combatir} +@{Precision} +1]]
Tipo: Normal ; Da§o:
[[@{Fuerza} + 1d6 + 1]]
CoolDown: 0 Rondas ; Tiempo: 2 Acciones
Prioridad: 0
Efecto: CD 14 de causar Retroceso. Siempre es Critico si el objetivo ha usado Reduccion.
/r [[1d20]]
Tags: Contacto (5ft)/ Blanco: Elegido/ Tags: Retroceso";Stomp
ID_24;Doble Patada;Lucha;DB + 1d4;1 Ronda;1 Accion;Destreza;Combatir;-1;Golpea 2 veces seguidas.;Puede usarse hasta 2 veces por Ronda;Fisico;Elegido;0;Contacto (5ft);Recurrente;Amateur;Doble Patada (1A);"/me Doble Patada
Nivel: Amateur (CD: 10)
/r 1d20 + [[@{Destreza} + @{Combatir} +@{Precision} -1]]
Tipo: Lucha ; Da§o:
[[@{Fuerza} + 1d4]]
CoolDown: 1 Ronda ; Tiempo: 1 Accion
Prioridad: 0
Efecto: Puede usarse hasta 2 veces por Ronda
Tags: Contacto (5ft)/ Blanco: Elegido/ Tags: Recurrente";Double Kick
ID_25;Megapatada;Normal;DB + 2d6;2 Rondas;2 Acciones;Destreza;Combatir;-3;Ninguno.;-;Fisico;Elegido;0;Contacto (5ft);-;Amateur;Megapatada (2A);"/me Megapatada
Nivel: Amateur (CD: 10)
/r 1d20 + [[@{Destreza} + @{Combatir} +@{Precision} -3]]
Tipo: Normal ; Da§o:
[[@{Fuerza} + 2d6]]
CoolDown: 2 Rondas ; Tiempo: 2 Acciones
Prioridad: 0
Efecto: -
Tags: Contacto (5ft)/ Blanco: Elegido/ Tags: -";Mega Kick
ID_27;Patada Giro;Lucha;DB + 1d6 + 1;1 Ronda;2 Acciones;Destreza;Combatir;-2;30% de hacer retroceder al rival.;"CD 14 de causar Retroceso.
/r [[1d20]]";Fisico;Elegido;0;Contacto (5ft);Retroceso;Begginer;Patada Giro (2A);"/me Patada Giro
Nivel: Begginer (CD: 6)
/r 1d20 + [[@{Destreza} + @{Combatir} +@{Precision} -2]]
Tipo: Lucha ; Da§o:
[[@{Fuerza} + 1d6 + 1]]
CoolDown: 1 Ronda ; Tiempo: 2 Acciones
Prioridad: 0
Efecto: CD 14 de causar Retroceso.
/r [[1d20]]
Tags: Contacto (5ft)/ Blanco: Elegido/ Tags: Retroceso";Rolling Kick
ID_29;Golpe Cabeza;Normal;DB + 1d8;1 Ronda;2 Acciones;Destreza;Combatir;+1;30% de hacer retroceder al rival.;"CD 14 de causar Retroceso.
/r [[1d20]]";Fisico;Elegido;0;Contacto (5ft);Retroceso;Amateur;Golpe Cabeza (2A);"/me Golpe Cabeza
Nivel: Amateur (CD: 10)
/r 1d20 + [[@{Destreza} + @{Combatir} +@{Precision} +1]]
Tipo: Normal ; Da§o:
[[@{Fuerza} + 1d8]]
CoolDown: 1 Ronda ; Tiempo: 2 Acciones
Prioridad: 0
Efecto: CD 14 de causar Retroceso.
/r [[1d20]]
Tags: Contacto (5ft)/ Blanco: Elegido/ Tags: Retroceso";Headbutt
ID_30;Cornada;Normal;DB + 1d6 + 1;0 Rondas;2 Acciones;Destreza;Combatir;+1;Ninguno.;-;Fisico;Elegido;0;Contacto (5ft);-;Begginer;Cornada (2A);"/me Cornada
Nivel: Begginer (CD: 6)
/r 1d20 + [[@{Destreza} + @{Combatir} +@{Precision} +1]]
Tipo: Normal ; Da§o:
[[@{Fuerza} + 1d6 + 1]]
CoolDown: 0 Rondas ; Tiempo: 2 Acciones
Prioridad: 0
Efecto: -
Tags: Contacto (5ft)/ Blanco: Elegido/ Tags: -";Horn Attack
ID_31;Ataque Furia;Normal;DB;1 Ronda;1 Accion;Destreza;Combatir;0;Golpea de 2 a 5 veces seguidas.;Puede usarse consecutivamente;Fisico;Elegido;0;Contacto (5ft);Recurrente;Amateur;Ataque Furia (1A);"/me Ataque Furia
Nivel: Amateur (CD: 10)
/r 1d20 + [[@{Destreza} + @{Combatir} +@{Precision} 0]]
Tipo: Normal ; Da§o:
[[@{Fuerza}]]
CoolDown: 1 Ronda ; Tiempo: 1 Accion
Prioridad: 0
Efecto: Puede usarse consecutivamente
Tags: Contacto (5ft)/ Blanco: Elegido/ Tags: Recurrente";Fury Attack
ID_33;Placaje;Normal;DB + 1d4 + 1;2 / Ronda;2 Acciones;Destreza;Combatir;+1;Ninguno.;Ninguno.;Fisico;Elegido;0;Contacto (5ft);-;Starter;Placaje (2A);"/me Placaje
Nivel: Starter (CD: 2)
/r 1d20 + [[@{Destreza} + @{Combatir} +@{Precision} +1]]
Tipo: Normal ; Da§o:
[[@{Fuerza} + 1d4 + 1]]
CoolDown: 2 / Ronda ; Tiempo: 2 Acciones
Prioridad: 0
Efecto: Ninguno.
Tags: Contacto (5ft)/ Blanco: Elegido/ Tags: -";Tackle
ID_34;Golpe Cuerpo;Normal;DB + 2d4;1 Ronda;2 Acciones;Destreza;Combatir;+1;30% de paralizar al rival.;"CD 14 de Paralizar al rival.
/r [[1d20]]";Fisico;Elegido;0;Contacto (5ft);Paralisis;Amateur;Golpe Cuerpo (2A);"/me Golpe Cuerpo
Nivel: Amateur (CD: 10)
/r 1d20 + [[@{Destreza} + @{Combatir} +@{Precision} +1]]
Tipo: Normal ; Da§o:
[[@{Fuerza} + 2d4]]
CoolDown: 1 Ronda ; Tiempo: 2 Acciones
Prioridad: 0
Efecto: CD 14 de Paralizar al rival.
/r [[1d20]]
Tags: Contacto (5ft)/ Blanco: Elegido/ Tags: Paralisis";Body Slam
ID_35;Constriccion;Normal;DB;0 Rondas;2 Acciones;Destreza;Atletismo;-1;El Pokemon rival permanece atrapado de 4 a 5 turnos, recibiendo un da§o del 12.5% del PS cada turno.;Bloquea al Blanco. Inflige 1 de Da§o al final de la Ronda;Fisico;Elegido;0;Contacto (5ft);Prision;Starter;Constriccion (2A);"/me Constriccion
Nivel: Starter (CD: 2)
/r 1d20 + [[@{Destreza} + @{Atletismo} +@{Precision} -1]]
Tipo: Normal ; Da§o:
[[@{Fuerza}]]
CoolDown: 0 Rondas ; Tiempo: 2 Acciones
Prioridad: 0
Efecto: Bloquea al Blanco. Inflige 1 de Da§o al final de la Ronda
Tags: Contacto (5ft)/ Blanco: Elegido/ Tags: Prision";Wrap
ID_36;Derribo;Normal;DB + 2d4;0 Rondas;2 Acciones;Destreza;Combatir;-2;Provoca un da§o de retroceso del 25% del da§o provocado al Pokemon rival.;El Usuario pierde HP equivalente al DB;Fisico;Elegido;0;Contacto (5ft);Recoil;Amateur;Derribo (2A);"/me Derribo
Nivel: Amateur (CD: 10)
/r 1d20 + [[@{Destreza} + @{Combatir} +@{Precision} -2]]
Tipo: Normal ; Da§o:
[[@{Fuerza} + 2d4]]
CoolDown: 0 Rondas ; Tiempo: 2 Acciones
Prioridad: 0
Efecto: El Usuario pierde HP equivalente al DB
Tags: Contacto (5ft)/ Blanco: Elegido/ Tags: Recoil";Take Down
ID_38;Doble Filo;Normal;DB + 2d6;1 Ronda;2 Acciones;Fuerza;Combatir;+1;Provoca un da§o de retroceso al usuario equivalente al 33% del da§o provocado al rival.; El Usuario pierde HP equivalente al DB;Fisico;Elegido;0;Contacto (5ft);Recoil;Ace;Doble Filo (2A);"/me Doble Filo
Nivel: Ace (CD: 14)
/r 1d20 + [[@{Fuerza} + @{Combatir} +@{Precision} +1]]
Tipo: Normal ; Da§o:
[[@{Fuerza} + 2d6]]
CoolDown: 1 Ronda ; Tiempo: 2 Acciones
Prioridad: 0
Efecto:  El Usuario pierde HP equivalente al DB
Tags: Contacto (5ft)/ Blanco: Elegido/ Tags: Recoil";Double-Edge
ID_40;Picotazo Veneno;Veneno;DB;2 / Ronda;2 Acciones;Destreza;Lanzar;+1;30% de envenenar al rival.;"CD 14 de Envenenar al rival.
/r [[1d20]]";Fisico;Elegido;0;Lanzar (25 ft);Veneno;Starter;Picotazo Veneno (2A);"/me Picotazo Veneno
Nivel: Starter (CD: 2)
/r 1d20 + [[@{Destreza} + @{Lanzar} +@{Precision} +1]]
Tipo: Veneno ; Da§o:
[[@{Fuerza}]]
CoolDown: 2 / Ronda ; Tiempo: 2 Acciones
Prioridad: 0
Efecto: CD 14 de Envenenar al rival.
/r [[1d20]]
Tags: Lanzar (25 ft)/ Blanco: Elegido/ Tags: Veneno";Poison Sting
ID_41;Doble Ataque;Bicho;DB + 1d4;1 Ronda;1 Accion;Destreza;Combatir;-2;20% de envenenar al rival. Golpea 2 veces seguidas.;"CD 16 de Envenenar al rival; Puede usarse hasta 2 veces por Ronda
/r [[1d20]]";Fisico;Elegido;0;Lanzar (25 ft);"Recurrente; Veneno";Ace;Doble Ataque (1A);"/me Doble Ataque
Nivel: Ace (CD: 14)
/r 1d20 + [[@{Destreza} + @{Combatir} +@{Precision} -2]]
Tipo: Bicho ; Da§o:
[[@{Fuerza} + 1d4]]
CoolDown: 1 Ronda ; Tiempo: 1 Accion
Prioridad: 0
Efecto: CD 16 de Envenenar al rival; Puede usarse hasta 2 veces por Ronda
/r [[1d20]]
Tags: Lanzar (25 ft)/ Blanco: Elegido/ Tags: Recurrente; Veneno";Twineedle
ID_42;Pin Misil;Bicho;DB + 1d4;1 Ronda;1 Accion;Destreza;Lanzar;-2;Golpea de 2 a 5 veces seguidas.;Puede usarse consecutivamente;Fisico;Elegido;0;Lanzar (25 ft);Recurrente;Amateur;Pin Misil (1A);"/me Pin Misil
Nivel: Amateur (CD: 10)
/r 1d20 + [[@{Destreza} + @{Lanzar} +@{Precision} -2]]
Tipo: Bicho ; Da§o:
[[@{Fuerza} + 1d4]]
CoolDown: 1 Ronda ; Tiempo: 1 Accion
Prioridad: 0
Efecto: Puede usarse consecutivamente
Tags: Lanzar (25 ft)/ Blanco: Elegido/ Tags: Recurrente";Pin Missile
ID_44;Mordisco;Siniestro;DB + 1d6 + 1;0 Rondas;2 Acciones;Destreza;Combatir;+1;30% de hacer retroceder al rival.;"CD 14 de causar Retroceso
/r [[1d20]]";Fisico;Elegido;0;Contacto (5ft);"Mordisco; Retroceso";Begginer;Mordisco (2A);"/me Mordisco
Nivel: Begginer (CD: 6)
/r 1d20 + [[@{Destreza} + @{Combatir} +@{Precision} +1]]
Tipo: Siniestro ; Da§o:
[[@{Fuerza} + 1d6 + 1]]
CoolDown: 0 Rondas ; Tiempo: 2 Acciones
Prioridad: 0
Efecto: CD 14 de causar Retroceso
/r [[1d20]]
Tags: Contacto (5ft)/ Blanco: Elegido/ Tags: Mordisco; Retroceso";Bite
ID_46;Rugido;Normal;DB + 1d6 + 1;1 Ronda;2 Acciones;Carisma;Etiqueta;+0;El Pokemon rival es intercambiado por otro al azar del entrenador rival. Si es salvaje, huira.;Cualquier objetivo en rango es empujado 40 pies, y se reduce 5 pies por SAB del objetivo.;Especial;Area;-5;Cono (15 ft);Sonido;Amateur;Rugido (2A);"/me Rugido
Nivel: Amateur (CD: 10)
/r 1d20 + [[@{Carisma} + @{Etiqueta} +@{Precision} +0]]
Tipo: Normal ; Da§o:
[[@{Energia} + 1d6 + 1]]
CoolDown: 1 Ronda ; Tiempo: 2 Acciones
Prioridad: -5
Efecto: Cualquier objetivo en rango es empujado 40 pies, y se reduce 5 pies por SAB del objetivo.
Tags: Cono (15 ft)/ Blanco: Area/ Tags: Sonido";Roar
ID_49;Bomba Sonica;Normal;2;0 Rondas;2 Acciones;Carisma;Presentar;-1;Causa un da§o de 20 PS al Pokemon rival.;El movimiento da§a directamente al rival ignorando Defensas, aplica Debilidad o Resistencia;Especial;Elegido;0;Lanzar (25 ft);-;Starter;Bomba Sonica (2A);"/me Bomba Sonica
Nivel: Starter (CD: 2)
/r 1d20 + [[@{Carisma} + @{Presentar} +@{Precision} -1]]
Tipo: Normal ; Da§o:
[[2]]
CoolDown: 0 Rondas ; Tiempo: 2 Acciones
Prioridad: 0
Efecto: El movimiento da§a directamente al rival ignorando Defensas, aplica Debilidad o Resistencia
Tags: Lanzar (25 ft)/ Blanco: Elegido/ Tags: -";Sonic Boom
ID_51;Acido;Veneno;DB + 1d4 + 1;0 Rondas;2 Acciones;Destreza;Lanzar;+1;10% de reducir un nivel la Defensa Especial al rival.;"CD 18 de Reducir -1 SAB
/r [[1d20]]";Especial;Oponentes;0;Cono (15 ft);-;Starter;Acido (2A);"/me Acido
Nivel: Starter (CD: 2)
/r 1d20 + [[@{Destreza} + @{Lanzar} +@{Precision} +1]]
Tipo: Veneno ; Da§o:
[[@{Energia} + 1d4 + 1]]
CoolDown: 0 Rondas ; Tiempo: 2 Acciones
Prioridad: 0
Efecto: CD 18 de Reducir -1 SAB
/r [[1d20]]
Tags: Cono (15 ft)/ Blanco: Oponentes/ Tags: -";Acid
ID_52;Ascuas;Fuego;DB + 1d4 + 1;0 Rondas;2 Acciones;Destreza;Canalizar;+1;10% de quemar al rival.;"CD 18 de Quemar al rival.
/r [[1d20]]";Especial;Elegido;0;Lanzar (25 ft);Quemadura;Starter;Ascuas (2A);"/me Ascuas
Nivel: Starter (CD: 2)
/r 1d20 + [[@{Destreza} + @{Canalizar} +@{Precision} +1]]
Tipo: Fuego ; Da§o:
[[@{Energia} + 1d4 + 1]]
CoolDown: 0 Rondas ; Tiempo: 2 Acciones
Prioridad: 0
Efecto: CD 18 de Quemar al rival.
/r [[1d20]]
Tags: Lanzar (25 ft)/ Blanco: Elegido/ Tags: Quemadura";Ember
ID_53;Lanzallamas;Fuego;DB + 2d4;1 Ronda;2 Acciones;Destreza;Lanzar;+1;10% de quemar al rival.;"CD 18 de Quemar al rival.
/r [[1d20]]";Especial;Area;0;Linear (20 ft);Quemadura;Amateur;Lanzallamas (2A);"/me Lanzallamas
Nivel: Amateur (CD: 10)
/r 1d20 + [[@{Destreza} + @{Lanzar} +@{Precision} +1]]
Tipo: Fuego ; Da§o:
[[@{Energia} + 2d4]]
CoolDown: 1 Ronda ; Tiempo: 2 Acciones
Prioridad: 0
Efecto: CD 18 de Quemar al rival.
/r [[1d20]]
Tags: Linear (20 ft)/ Blanco: Area/ Tags: Quemadura";Flamethrower
ID_55;Pistola Agua;Agua;DB + 1d4 + 1;0 Rondas;2 Acciones;Destreza;Lanzar;+1;Ninguno.;Ninguno.;Especial;Elegido;0;Larga (40 ft);-;Starter;Pistola Agua (2A);"/me Pistola Agua
Nivel: Starter (CD: 2)
/r 1d20 + [[@{Destreza} + @{Lanzar} +@{Precision} +1]]
Tipo: Agua ; Da§o:
[[@{Energia} + 1d4 + 1]]
CoolDown: 0 Rondas ; Tiempo: 2 Acciones
Prioridad: 0
Efecto: Ninguno.
Tags: Larga (40 ft)/ Blanco: Elegido/ Tags: -";Water Gun
ID_56;Hidrobomba;Agua;DB + 1d6 + 2;2 Rondas;3 Acciones;Energia;Lanzar;-2;Ninguno.;-;Especial;Elegido;0;Linear (20 ft);-;Ace;Hidrobomba (3A);"/me Hidrobomba
Nivel: Ace (CD: 14)
/r 1d20 + [[@{Energia} + @{Lanzar} +@{Precision} -2]]
Tipo: Agua ; Da§o:
[[@{Energia} + 1d6 + 2]]
CoolDown: 2 Rondas ; Tiempo: 3 Acciones
Prioridad: 0
Efecto: -
Tags: Linear (20 ft)/ Blanco: Elegido/ Tags: -";Hydro Pump
ID_57;Surf;Agua;DB + 2d4;1 Ronda;2 Acciones;Energia;Canalizar;+1;El poder base se duplica si el rival esta bajo el agua preparando un Buceo.;El poder base se duplica si el rival esta bajo el agua preparando un Buceo. Puede gastar una tercera accion para ampliar el area de efecto hasta 15 ft.;Especial;Area;0;Area (10ft);-;Ace;Surf (2A);"/me Surf
Nivel: Ace (CD: 14)
/r 1d20 + [[@{Energia} + @{Canalizar} +@{Precision} +1]]
Tipo: Agua ; Da§o:
[[@{Energia} + 2d4]]
CoolDown: 1 Ronda ; Tiempo: 2 Acciones
Prioridad: 0
Efecto: El poder base se duplica si el rival esta bajo el agua preparando un Buceo. Puede gastar una tercera accion para ampliar el area de efecto hasta 15 ft.
Tags: Area (10ft)/ Blanco: Area/ Tags: -";Surf
