ID;Ndex;Pokemon;Alternativo;Cadena;Etapa;Nivel;Tipo1;Tipo2;Habilidad_1;Habilidad_2;Habilidad_3;FUE;VIT;ENE;SAB;DES;CAR;PS_min;Total_min;Velocidad
0026_1;#0026;Raichu;Kanto;Pikachu;Avanzada;Elite;Electrico;Electrico;Electricidadestatica;Electricidadestatica;Pararrayos;3;2;3;3;4;3;17;18;Rapido
0026_2;#0026;Raichu;Alola;Pikachu;Avanzada;Elite;Electrico;Psiquico;Colasurf;Colasurf;Colasurf;3;2;3;3;4;3;17;18;Rapido
0027_1;#0027;Sandshrew;Kanto;Sandshrew;Basico;Begginer;Tierra;Tierra;Veloarena;Veloarena;impetuarena;3;3;1;1;1;3;13;12;Suave
0027_2;#0027;Sandshrew;Alola;Sandshrew;Basico;Begginer;Hielo;Acero;Mantoniveo;Mantoniveo;Quitanieves;3;3;1;1;1;3;13;12;Suave
0028_1;#0028;Sandslash;Kanto;Sandshrew;Avanzada;Amateur;Tierra;Tierra;Veloarena;Veloarena;impetuarena;4;4;1;2;2;3;15;16;Normal
0028_2;#0028;Sandslash;Alola;Sandshrew;Avanzada;Amateur;Hielo;Acero;Mantoniveo;Mantoniveo;Quitanieves;4;4;1;2;2;3;15;16;Normal
0029_1;#0029;Nidoran?;Kanto;Nidoran?;Basico;Starter;Veneno;Veneno;Puntotoxico;Rivalidad;Entusiasmo;1;2;1;1;1;3;11;9;Suave
0030_1;#0030;Nidorina;Kanto;Nidoran?;Evolucion;Begginer;Veneno;Veneno;Puntotoxico;Rivalidad;Entusiasmo;2;2;2;2;2;3;13;13;Suave
0031_1;#0031;Nidoqueen;Kanto;Nidoran?;Avanzada;Elite;Veneno;Tierra;Puntotoxico;Rivalidad;Potenciabruta;3;3;3;3;3;3;17;18;Normal
0032_1;#0032;Nidoran?;Kanto;Nidoran?;Basico;Starter;Veneno;Veneno;Puntotoxico;Rivalidad;Entusiasmo;2;1;1;1;2;2;8;9;Suave
0033_1;#0033;Nidorino;Kanto;Nidoran?;Evolucion;Begginer;Veneno;Veneno;Puntotoxico;Rivalidad;Entusiasmo;2;2;2;2;2;3;13;13;Normal
0034_1;#0034;Nidoking;Kanto;Nidoran?;Avanzada;Master;Veneno;Tierra;Puntotoxico;Rivalidad;Potenciabruta;4;3;3;3;3;3;19;19;Normal
0035_1;#0035;Clefairy;Kanto;Cleffa;Evolucion;Begginer;Hada;Hada;Granencanto;Muromagico;Compiescolta;1;1;2;2;1;3;13;10;Lento
0036_1;#0036;Clefable;Kanto;Cleffa;Avanzada;Amateur;Hada;Hada;Granencanto;Muromagico;Ignorante;2;2;3;3;2;3;15;15;Suave
0037_1;#0037;Vulpix;Kanto;Vulpix;Basico;Begginer;Fuego;Fuego;Absorbefuego;Absorbefuego;Sequia;1;1;2;2;2;2;10;10;Normal
0037_2;#0037;Vulpix;Alola;Vulpix;Basico;Begginer;Hielo;Hielo;Mantoniveo;Mantoniveo;Nevada;1;1;2;2;2;2;10;10;Normal
0038_1;#0038;Ninetales;Alola;Vulpix;Avanzada;Master;Hielo;Hada;Mantoniveo;Mantoniveo;Nevada;2;3;3;4;4;3;19;19;Rapido
0038_2;#0038;Ninetales;Kanto;Vulpix;Avanzada;Master;Fuego;Fuego;Absorbefuego;Absorbefuego;Sequia;3;3;3;4;4;3;19;20;Rapido
0039_1;#0039;Jigglypuff;Kanto;Jigglypuff;Basico;Starter;Normal;Hada;Granencanto;Tenacidad;Compiescolta;1;1;1;1;1;4;14;9;Lento
0040_1;#0040;Wigglytuff;Kanto;Jigglypuff;Avanzada;Begginer;Normal;Hada;Granencanto;Tenacidad;Cacheo;2;1;3;2;1;4;16;13;Suave
0041_1;#0041;Zubat;Kanto;Zubat;Basico;Starter;Veneno;Volador;Fuerzamental;Fuerzamental;Allanamiento;1;1;1;1;2;2;8;8;Suave
0042_1;#0042;Golbat;Kanto;Zubat;Avanzada;Amateur;Veneno;Volador;Fuerzamental;Fuerzamental;Allanamiento;3;2;2;3;3;3;15;16;Normal
0043_1;#0043;Oddish;Kanto;Oddish;Basico;Begginer;Planta;Veneno;Clorofila;Clorofila;Fuga;2;2;3;2;1;2;10;12;Lento
0044_1;#0044;Gloom;Kanto;Oddish;Evolucion;Amateur;Planta;Veneno;Clorofila;Clorofila;Hedor;2;2;3;3;1;3;15;14;Suave
0045_1;#0045;Vileplume;Kanto;Oddish;Avanzada;Elite;Planta;Veneno;Clorofila;Clorofila;Efectoespora;3;3;4;3;2;3;17;18;Suave
0046_1;#0046;Paras;Kanto;Paras;Basico;Begginer;Bicho;Planta;Efectoespora;Pielseca;Humedad;2;2;1;2;1;2;10;10;Lento
0047_1;#0047;Parasect;Kanto;Paras;Evolucion;Amateur;Bicho;Planta;Efectoespora;Pielseca;Humedad;3;3;2;3;1;3;15;15;Lento
0048_1;#0048;Venonat;Kanto;Venonat;Basico;Begginer;Bicho;Veneno;Ojocompuesto;Cromolente;Fuga;2;2;1;2;1;3;13;11;Suave
0049_1;#0049;Venomoth;Kanto;Venonat;Evolucion;Amateur;Bicho;Veneno;Polvoescudo;Cromolente;Pielmilagro;2;2;3;3;3;3;15;16;Normal
0050_1;#0050;Diglett;Kanto;Diglett;Basico;Begginer;Tierra;Tierra;Trampaarena;Veloarena;Poderarena;2;1;1;1;3;2;10;10;Normal
0050_2;#0050;Diglett;Alola;Diglett;Basico;Begginer;Tierra;Acero;Veloarena;Rizosrebeldes;Poderarena;2;1;1;1;3;2;10;10;Normal
0051_1;#0051;Dugtrio;Kanto;Diglett;Avanzada;Amateur;Tierra;Tierra;Trampaarena;Veloarena;Poderarena;4;2;2;2;4;2;12;16;Rapido
0051_2;#0051;Dugtrio;Alola;Diglett;Avanzada;Amateur;Tierra;Acero;Veloarena;Rizosrebeldes;Poderarena;4;2;2;2;4;2;12;16;Rapido
0052_1;#0052;Meowth;Kanto;Meowth;Basico;Starter;Normal;Normal;Recogida;Experto;Nerviosismo;1;1;1;1;3;2;8;9;Normal
0052_2;#0052;Meowth;Alola;Meowth;Basico;Begginer;Siniestro;Siniestro;Recogida;Experto;Cobardia;1;1;2;1;3;2;10;10;Normal
0052_3;#0052;Meowth;Galar;Meowth (Galar);Basico;Begginer;Acero;Acero;Recogida;Garradura;Nerviosismo;2;2;1;1;1;3;13;10;Suave
0053_1;#0053;Persian;Kanto;Meowth;Avanzada;Amateur;Normal;Normal;Flexibilidad;Experto;Nerviosismo;2;2;2;2;4;3;15;15;Rapido
0053_2;#0053;Persian;Alola;Meowth;Avanzada;Amateur;Siniestro;Siniestro;Pelajerecio;Experto;Cobardia;2;2;3;2;4;3;15;16;Rapido
0054_1;#0054;Psyduck;Kanto;Psyduck;Basico;Begginer;Agua;Agua;Humedad;Aclimatacion;Nadorapido;2;1;2;2;2;3;13;12;Suave
0055_1;#0055;Golduck;Kanto;Psyduck;Avanzada;Elite;Agua;Agua;Aclimatacion;Humedad;Nadorapido;3;3;3;3;3;3;17;18;Normal
0056_1;#0056;Mankey;Kanto;Mankey;Basico;Begginer;Lucha;Lucha;Espirituvital;Irascible;Competitivo;3;1;1;1;2;2;10;10;Normal
0057_1;#0057;Primeape;Kanto;Mankey;Avanzada;Amateur;Lucha;Lucha;Espirituvital;Irascible;Competitivo;4;2;2;2;3;3;15;16;Normal
0058_1;#0058;Growlithe;Kanto;Growlithe;Basico;Begginer;Fuego;Fuego;Intimidacion;Absorbefuego;Justiciero;2;1;2;2;2;3;13;12;Suave
0058_2;#0058;Growlithe;Hisui;Growlithe (Hisui);Basico;Begginer;Fuego;Roca;Intimidacion;Absorbefuego;Cabezaroca;3;1;2;2;2;3;13;13;Suave
0059_1;#0059;Arcanine;Hisui;Growlithe (Hisui);Evolucion;Master;Fuego;Roca;Intimidacion;Absorbefuego;Cabezaroca;4;3;3;3;3;3;19;19;Normal
0059_2;#0059;Arcanine;Kanto;Growlithe;Avanzada;Master;Fuego;Fuego;Intimidacion;Absorbefuego;Justiciero;4;3;4;3;3;3;19;20;Normal
0060_1;#0060;Poliwag;Kanto;Poliwag;Basico;Begginer;Agua;Agua;Absorbeagua;Humedad;Nadorapido;2;1;1;1;3;2;10;10;Normal
0061_1;#0061;Poliwhirl;Kanto;Poliwag;Evolucion;Amateur;Agua;Agua;Absorbeagua;Humedad;Nadorapido;2;2;2;2;3;3;15;14;Normal
0062_1;#0062;Poliwrath;Kanto;Poliwag;Avanzada;Amateur;Agua;Lucha;Absorbeagua;Humedad;Nadorapido;3;3;2;3;2;3;15;16;Normal
0063_1;#0063;Abra;Kanto;Abra;Basico;Begginer;Psiquico;Psiquico;Sincronia;Fuerzamental;Muromagico;1;1;4;2;3;2;10;13;Normal
0064_1;#0064;Kadabra;Kanto;Abra;Evolucion;Amateur;Psiquico;Psiquico;Sincronia;Fuerzamental;Muromagico;1;1;4;2;4;2;12;14;Rapido
0065_1;#0065;Alakazam;Kanto;Abra;Avanzada;Elite;Psiquico;Psiquico;Sincronia;Fuerzamental;Muromagico;2;1;5;3;4;3;17;18;Rapido
0065_2;#0065;Alakazam;Mega;Abra;Mega;Legend;Psiquico;Psiquico;Calco;Calco;Calco;2;2;7;4;6;3;25;24;Fugaz
0066_1;#0066;Machop;Kanto;Machop;Basico;Begginer;Lucha;Lucha;Agallas;Indefenso;Impasible;3;2;1;1;1;3;13;11;Lento
0067_1;#0067;Machoke;Kanto;Machop;Evolucion;Amateur;Lucha;Lucha;Agallas;Indefenso;Impasible;4;2;2;2;1;3;15;14;Suave
0068_1;#0068;Machamp;Kanto;Machop;Avanzada;Elite;Lucha;Lucha;Agallas;Indefenso;Impasible;5;3;2;3;2;3;17;18;Suave
0069_1;#0069;Bellsprout;Kanto;Bellsprout;Basico;Begginer;Planta;Veneno;Clorofila;Clorofila;Gula;3;1;2;1;1;3;13;11;Suave
0070_1;#0070;Weepinbell;Kanto;Bellsprout;Evolucion;Amateur;Planta;Veneno;Clorofila;Clorofila;Gula;3;2;3;1;2;3;15;14;Suave
0071_1;#0071;Victreebel;Kanto;Bellsprout;Avanzada;Elite;Planta;Veneno;Clorofila;Clorofila;Gula;4;2;4;2;2;3;17;17;Normal
0072_1;#0072;Tentacool;Kanto;Tentacool;Basico;Begginer;Agua;Veneno;Cuerpopuro;Viscosecrecion;Curalluvia;1;1;2;4;2;2;10;12;Normal
0073_1;#0073;Tentacruel;Kanto;Tentacool;Evolucion;Elite;Agua;Veneno;Cuerpopuro;Viscosecrecion;Curalluvia;2;2;3;4;4;3;17;18;Rapido
0074_1;#0074;Geodude;Kanto;Geodude;Basico;Begginer;Roca;Tierra;Cabezaroca;Robustez;Veloarena;3;4;1;1;1;2;10;12;Lento
0074_2;#0074;Geodude;Alola;Geodude (Alola);Basico;Begginer;Roca;Electrico;Iman;Robustez;Pielelectrica;3;4;1;1;1;2;10;12;Lento
0075_1;#0075;Graveler;Kanto;Geodude;Evolucion;Begginer;Roca;Tierra;Cabezaroca;Robustez;Veloarena;3;4;1;1;1;3;13;13;Lento
0075_2;#0075;Graveler;Alola;Geodude (Alola);Evolucion;Begginer;Roca;Electrico;Iman;Robustez;Pielelectrica;3;4;1;1;1;3;13;13;Lento
0076_1;#0076;Golem;Kanto;Geodude;Avanzada;Elite;Roca;Tierra;Cabezaroca;Robustez;Veloarena;4;5;2;2;1;3;17;17;Suave
0076_2;#0076;Golem;Alola;Geodude (Alola);Avanzada;Elite;Roca;Electrico;Iman;Robustez;Pielelectrica;4;5;2;2;1;3;17;17;Suave
0077_1;#0077;Ponyta;Kanto;Ponyta;Basico;Amateur;Fuego;Fuego;Fuga;Absorbefuego;Cuerpollama;3;2;2;2;3;3;15;15;Normal
0077_2;#0077;Ponyta;Galar;Ponyta (Galar);Basico;Amateur;Psiquico;Psiquico;Fuga;Velopastel;Anticipacion;3;2;2;2;3;3;15;15;Normal
0078_1;#0078;Rapidash;Kanto;Ponyta;Avanzada;Master;Fuego;Fuego;Fuga;Absorbefuego;Cuerpollama;4;2;3;3;4;3;19;19;Rapido
0078_2;#0078;Rapidash;Galar;Ponyta (Galar);Evolucion;Master;Psiquico;Hada;Fuga;Velopastel;Anticipacion;4;2;3;3;4;3;19;19;Rapido
0079_1;#0079;Slowpoke;Kanto;Slowpoke;Basico;Begginer;Agua;Psiquico;Despiste;Ritmopropio;Regeneracion;2;2;1;1;1;3;13;10;Lento
0079_2;#0079;Slowpoke;Galar;Slowpoke (Galar);Basico;Begginer;Psiquico;Psiquico;Gula;Ritmopropio;Regeneracion;2;2;1;1;1;3;13;10;Lento
0080_1;#0080;Slowbro;Galar;Slowpoke (Galar);Evolucion;Elite;Veneno;Psiquico;Manorapida;Ritmopropio;Regeneracion;4;3;4;2;1;3;17;17;Lento
0080_2;#0080;Slowbro;Kanto;Slowpoke;Avanzada;Elite;Agua;Psiquico;Despiste;Ritmopropio;Regeneracion;3;4;4;3;1;3;17;18;Lento
0080_3;#0080;Slowbro;Mega;Slowpoke;Mega;Legend;Agua;Psiquico;Caparazon;Caparazon;Caparazon;3;7;5;3;1;3;25;22;Lento
0081_1;#0081;Magnemite;Kanto;Magnemite;Basico;Begginer;Electrico;Acero;Iman;Robustez;Calculofinal;1;2;3;2;1;2;10;11;Suave
0082_1;#0082;Magneton;Kanto;Magnemite;Avanzada;Amateur;Electrico;Acero;Iman;Robustez;Calculofinal;2;3;4;2;2;3;15;16;Normal
0083_1;#0083;Farfetch'd;Kanto;Farfetch'd;Basico;Amateur;Normal;Volador;Vistalince;Fuerzamental;Competitivo;3;2;2;2;2;3;15;14;Suave
0083_2;#0083;Farfetch'd;Galar;Farfetch'd (Galar);Basico;Amateur;Lucha;Lucha;Impasible;Impasible;Intrepido;3;2;2;2;2;3;15;14;Suave
0084_1;#0084;Doduo;Kanto;Doduo;Basico;Begginer;Normal;Volador;Fuga;Madrugar;Tumbos;3;1;1;1;3;2;10;11;Normal
0085_1;#0085;Dodrio;Kanto;Doduo;Avanzada;Elite;Normal;Volador;Fuga;Madrugar;Tumbos;4;2;2;2;4;3;17;17;Rapido
0086_1;#0086;Seel;Kanto;Seel;Basico;Begginer;Agua;Agua;Sebo;Hidratacion;Gelido;1;2;1;2;1;3;13;10;Suave
0087_1;#0087;Dewgong;Kanto;Seel;Avanzada;Amateur;Agua;Hielo;Sebo;Hidratacion;Gelido;2;3;2;3;2;3;15;15;Normal
0088_1;#0088;Grimer;Kanto;Grimer;Basico;Begginer;Veneno;Veneno;Hedor;Viscosidad;Toquetoxico;3;2;1;2;1;3;13;12;Lento
0088_2;#0088;Grimer;Alola;Grimer (Alola);Basico;Begginer;Veneno;Siniestro;Toquetoxico;Gula;Reaccionquimica;3;2;1;2;1;3;13;12;Lento
0089_1;#0089;Muk;Kanto;Grimer;Avanzada;Master;Veneno;Veneno;Hedor;Viscosidad;Toquetoxico;4;3;2;4;2;4;22;19;Suave
0089_2;#0089;Muk;Alola;Grimer (Alola);Evolucion;Master;Veneno;Siniestro;Toquetoxico;Gula;Reaccionquimica;4;3;2;4;2;4;22;19;Suave
0090_1;#0090;Shellder;Kanto;Shellder;Basico;Begginer;Agua;Agua;Caparazon;Encadenado;Funda;2;4;1;1;1;2;10;11;Suave
0091_1;#0091;Cloyster;Kanto;Shellder;Evolucion;Master;Agua;Hielo;Caparazon;Encadenado;Funda;3;7;3;1;2;3;19;19;Normal
0092_1;#0092;Gastly;Kanto;Gastly;Basico;Begginer;Fantasma;Veneno;Levitacion;Levitacion;Levitacion;1;1;4;1;3;2;10;12;Normal
0093_1;#0093;Haunter;Kanto;Gastly;Evolucion;Amateur;Fantasma;Veneno;Levitacion;Levitacion;Levitacion;2;1;4;2;3;2;12;14;Normal
0094_1;#0094;Gengar;Kanto;Gastly;Avanzada;Master;Fantasma;Veneno;Cuerpomaldito;Cuerpomaldito;Cuerpomaldito;2;2;5;3;4;3;19;19;Rapido
0094_2;#0094;Gengar;Mega;Gastly;Mega;Legend;Fantasma;Veneno;Sombratrampa;Sombratrampa;Sombratrampa;2;3;6;3;5;3;25;22;Rapido
0095_1;#0095;Onix;Kanto;Onix;Basico;Begginer;Roca;Tierra;Cabezaroca;Robustez;Armadurafragil;1;6;1;1;2;2;10;13;Normal
0096_1;#0096;Drowzee;Kanto;Drowzee;Basico;Begginer;Psiquico;Psiquico;Insomnio;Alerta;Fuerzamental;1;1;1;3;1;3;13;10;Suave
0097_1;#0097;Hypno;Kanto;Drowzee;Avanzada;Amateur;Psiquico;Psiquico;Insomnio;Alerta;Fuerzamental;2;2;2;4;2;3;15;15;Normal
0098_1;#0098;Krabby;Kanto;Krabby;Basico;Begginer;Agua;Agua;Caparazon;Cortefuerte;Potenciabruta;4;3;1;1;2;2;10;13;Suave
0099_1;#0099;Kingler;Kanto;Krabby;Avanzada;Master;Agua;Agua;Caparazon;Cortefuerte;Potenciabruta;5;4;2;2;3;3;19;19;Normal
0100_1;#0100;Voltorb;Kanto;Voltorb;Basico;Begginer;Electrico;Electrico;Insonorizar;Electricidadestatica;Detonacion;1;2;2;2;4;2;10;13;Rapido
0100_2;#0100;Voltorb;Hisui;Voltorb (Hisui);Basico;Begginer;Electrico;Planta;Insonorizar;Electricidadestatica;Detonacion;1;2;2;2;4;2;10;13;Rapido
0101_1;#0101;Electrode;Kanto;Voltorb;Avanzada;Master;Electrico;Electrico;Insonorizar;Electricidadestatica;Detonacion;2;2;3;3;6;3;19;19;Rapido
0101_2;#0101;Electrode;Hisui;Voltorb (Hisui);Evolucion;Master;Electrico;Planta;Insonorizar;Electricidadestatica;Detonacion;2;2;3;3;6;3;19;19;Rapido
0102_1;#0102;Exeggcute;Kanto;Exeggcute;Basico;Begginer;Planta;Psiquico;Clorofila;Clorofila;Cosecha;1;3;2;1;1;3;13;11;Suave
0103_1;#0103;Exeggutor;Kanto;Exeggcute;Avanzada;Master;Planta;Psiquico;Clorofila;Clorofila;Cosecha;3;3;5;3;2;3;19;19;Suave
0103_2;#0103;Exeggutor;Alola;Exeggcute;Evolucion;Master;Planta;Dragon;Cacheo;Cacheo;Cosecha;4;3;5;3;1;3;19;19;Suave
0104_1;#0104;Cubone;Kanto;Cubone;Basico;Begginer;Tierra;Tierra;Cabezaroca;Pararrayos;Armadurabatalla;2;3;1;2;1;3;13;12;Lento
0105_1;#0105;Marowak;Kanto;Cubone;Avanzada;Amateur;Tierra;Tierra;Cabezaroca;Pararrayos;Armadurabatalla;3;4;2;3;1;3;15;16;Suave
0105_2;#0105;Marowak;Alola;Cubone;Evolucion;Amateur;Fuego;Fantasma;Cuerpomaldito;Pararrayos;Cabezaroca;3;4;2;3;1;3;15;16;Suave
0106_1;#0106;Hitmonlee;Kanto;Tyrogue;Avanzada;Elite;Lucha;Lucha;Flexibilidad;Audaz;Liviano;4;2;1;4;3;3;17;17;Normal
0107_1;#0107;Hitmonchan;Kanto;Tyrogue;Avanzada;Elite;Lucha;Lucha;Vistalince;Golpeferreo;Fuerzamental;4;3;1;4;3;3;17;18;Normal
0108_1;#0108;Lickitung;Kanto;Lickitung;Basico;Amateur;Normal;Normal;Despiste;Ritmopropio;Aclimatacion;2;3;2;3;1;3;15;14;Lento
0109_1;#0109;Koffing;Kanto;Koffing;Basico;Begginer;Veneno;Veneno;Levitacion;Gasreactivo;Hedor;2;3;2;1;1;2;10;11;Lento
0110_1;#0110;Weezing;Kanto;Koffing;Avanzada;Elite;Veneno;Veneno;Levitacion;Gasreactivo;Hedor;3;4;3;2;2;3;17;17;Suave
0110_2;#0110;Weezing;Galar;Koffing;Evolucion;Elite;Veneno;Hada;Levitacion;Gasreactivo;Nebulogenesis;3;4;3;2;2;3;17;17;Suave
0111_1;#0111;Rhyhorn;Kanto;Rhyhorn;Basico;Begginer;Tierra;Roca;Pararrayos;Cabezaroca;Audaz;3;3;1;1;1;3;13;12;Lento
0112_1;#0112;Rhydon;Kanto;Rhyhorn;Avanzada;Amateur;Tierra;Roca;Pararrayos;Cabezaroca;Audaz;5;4;1;1;1;4;18;16;Suave
0113_1;#0113;Chansey;Kanto;Chansey;Basico;Amateur;Normal;Normal;Curanatural;Dicha;Almacura;1;1;1;4;2;7;27;16;Suave
0114_1;#0114;Tangela;Kanto;Tangela;Basico;Amateur;Planta;Planta;Clorofila;Defensahoja;Regeneracion;2;4;4;1;2;3;15;16;Suave
0115_1;#0115;Kangaskhan;Kanto;Kangaskhan;Inicial;Elite;Normal;Normal;Madrugar;Intrepido;Fuerzamental;3;3;1;3;3;4;20;17;Normal
0115_2;#0115;Kangaskhan;Mega;Kangaskhan;Mega;Legend;Normal;Normal;Amorfilial;Amorfilial;Amorfilial;5;4;2;4;4;4;28;23;Fugaz
0116_1;#0116;Horsea;Kanto;Horsea;Basico;Begginer;Agua;Agua;Nadorapido;Francotirador;Humedad;1;2;2;1;2;2;10;10;Suave
0117_1;#0117;Seadra;Kanto;Horsea;Avanzada;Amateur;Agua;Agua;Puntotoxico;Francotirador;Humedad;2;3;3;1;3;3;15;15;Normal
0118_1;#0118;Goldeen;Kanto;Goldeen;Basico;Begginer;Agua;Agua;Nadorapido;Veloagua;Pararrayos;2;2;1;2;2;2;10;11;Normal
0119_1;#0119;Seaking;Kanto;Goldeen;Avanzada;Amateur;Agua;Agua;Nadorapido;Veloagua;Pararrayos;3;2;2;3;2;3;15;15;Normal
0120_1;#0120;Staryu;Kanto;Staryu;Basico;Begginer;Agua;Agua;Curanatural;Iluminacion;Calculofinal;1;2;2;2;3;2;10;12;Normal
0121_1;#0121;Starmie;Kanto;Staryu;Avanzada;Master;Agua;Psiquico;Curanatural;Iluminacion;Calculofinal;3;3;4;3;4;3;19;20;Rapido
0122_1;#0122;Mr. Mime;Kanto;Mr. Mime;Basico;Amateur;Psiquico;Hada;Insonorizar;Filtro;Experto;1;2;4;4;3;2;12;16;Normal
0122_2;#0122;Mr. Mime;Galar;Mime Jr.;Evolucion;Elite;Hielo;Psiquico;Espirituvital;Antibarrera;Gelido;2;2;3;3;4;3;17;17;Rapido
