ID;Movimiento;Tipo;DMG;PP;Tiempo;Atributo;Habilidad;Acc;Efecto;Efecto RPG;CD;Base;Blanco;Prioridad;Distancia;Categoria;Nivel;Moves
M0032;Rueda Doble;Acero;DB + 1d6;1 Ronda;1 Accion;Destreza;Combatir;-2;Golpea 2 veces seguidas.;Puede usarse 2 veces consecutivas;;Fisico;Elegido;0;Lanzar (25 ft);Recurrente;02 Amateur [A];Gear Grind
M0033;Tajo Supremo;Acero;DB + 1d6 + 2;1 cada 3 Rondas;;Destreza;Combate;+1;El daño se duplica si el objetivo esta en Forma Dinamax.;;;Fisico;Elegido;3;Contacto;Corte;Pro;Behemoth Blade
M0034;Tajo Taquion;Acero;DB + 1d6;1 Ronda;2-3 Acciones;Destreza;Combatir;1;Nunca falla. Golpea 2 veces seguidas.;Puede usarse 2 veces consecutivas con 1 accion adicional. No se puede evadir;;Especial;Elegido;0;Contacto (5ft);"Corte; Recurrente";05 Legend [L];Tachyon Cutter
M0035;Acua Aro;Agua;-;1 Ronda;2 Acciones;Energia;Naturaleza;0;El usuario recupera un 6.25% de PS cada turno hasta que cae debilitado o es intercambiado (salvo Relevo).;El usuario recupera 1 PS al final de cada ronda durante 5 rondas.;;Otros;Usuario;0;Propio;Curacion;02 Amateur [A];Aqua Ring
M0036;Acua Cola;Agua;DB + 2d4;1 Ronda;2 Acciones;Destreza;Combatir;-1;Ninguno.;-;;Fisico;Elegido;0;Contacto (5ft);-;02 Amateur [A];Aqua Tail
M0037;Acua Jet;Agua;DB + 1d4 + 1;1 PP;Reaccion;Destreza;Acrobacias;1;Golpea primero.;Sin Efecto;;Fisico;Elegido;2;Contacto (5ft);-;01 Beginner [B];Aqua Jet
M0038;Agua Fria;Agua;DB + 1d6;1/Ronda;;Destreza;Canalizar;+1;Baja un nivel el Ataque al rival.;;;Especial;Elegido;0;Rango;-;Begginer;Chilling Water
M0039;Agua Lodosa;Agua;DB + 2d4;1 Ronda;2 Acciones;Destreza;Canalizar;-2;30% de reducir un nivel la Precision al rival.;"CD 14 de Reducir -1 ACC
/r [[1d20]]";CD 14;Especial;Area;0;Cono (15 ft);-;03 Elite [E];Muddy Water
M0040;Aria Burbuja;Agua;DB + 2d4;1 cada 2 Rondas;;Energia;Artes;+1;Si el Pokemon rival se encuentra Quemado, este ataque le cura la Quemadura al rival.;;;Especial;Area;0;Area;Sonido;Begginer;Sparkling Aria
M0041;Azote Torrencial;Agua;DB + 1d4;2 Rondas;2 Acciones;Destreza;Combatir;1;Golpea 3 veces seguidas. Siempre provoca un Golpe Critico salvo que una habilidad o efecto lo impida.;Realiza 3 acciones consecutivas. Siempre realiza Dmg Critico;;Fisico;Elegido;0;Contacto (5ft);-;05 Legend [L];Surging Strikes
M0042;Branquibocado;Agua;DB + 2d4;1 cada 2 Rondas;;Destreza;Combate;+1;El poder base se duplica si el usuario ataca antes que el Pokemon objetivo.;;;Fisico;Elegido;0;Contacto;Mordisco;Ace;Fishious Rend
M0043;Buceo;Agua;DB + 1d8;1 cada 2 Rondas;;Destreza;Sigilo;+1;Precisa un turno de preparacion bajo el agua, en que solo puede ser golpeado por Surf y Torbellino, con el doble de poder base.;;;Fisico;Elegido;0;Contacto;-;Amateur;Dive
M0044;Burbuja;Agua;DB + 1d4 + 1;1 PP;2 Acciones;Destreza;Lanzar;1;10% de reducir un nivel la Velocidad al rival.;"CD 18 de Reducir -1 DES
/r [[1d20]]";CD 18;Especial;Oponentes;0;Cono (15 ft);-;00 Starter [S];Bubble
M0045;Cascada;Agua;DB + 1d8;1 Ronda;2 Acciones;Destreza;Combatir;1;20% de hacer retroceder al rival.;"CD 16 de causar Retroceso
/r [[1d20]]";CD 16;Fisico;Elegido;0;Contacto (5ft);Retroceso;02 Amateur [A];Waterfall
M0046;Chorro de Vapor;Agua;DB + 1d6 + 2;2 Rondas;2 Acciones;Destreza;Canalizar;0;30% de quemar al rival.;"CD 14 de Quemar al rival
/r [[1d20]]";CD 14;Especial;Elegido;0;Linear (20 ft);Quemadura;05 Legend [L];Steam Eruption
M0047;Concha Filo;Agua;DB + 1d8;1 Ronda;2 Acciones;Destreza;Combatir;0;50% de reducir un nivel la Defensa al rival.;"CD 10 de Reducir -1 VIT
/r [[1d20]]";CD 10;Fisico;Elegido;0;Contacto (5ft);Corte;02 Amateur [A];Razor Shell
M0048;Danza Acuatica;Agua;DB + 1d8;1 cada 2 Rondas;;Destreza;Artes;+1;Aumenta un nivel la Velocidad al usuario.;;;Fisico;Elegido;0;Contacto;-;Ace;Aqua Step
M0049;Danza Lluvia;Agua;-;1 Ronda;3 Acciones;Carisma;Naturaleza;0;Provoca Llovizna.;Cambia el Clima por Llovizna. Dura 5 Rondas;;Otros;Campo;0;Campo (50 ft);Clima;02 Amateur [A];Rain Dance
M0050;Disparo Certero;Agua;DB + 1d8;1 cada 2 Rondas;;Destreza;Lanzar;+1;Ignora los efectos de movimientos y habilidades que atraen ataques, golpeando siempre al Pokemon objetivo.;;;Especial;Elegido;0;Rango;-;Amateur;Snipe Shot
M0051;Empapar;Agua;-;1 PP;1 Accion;Energia;Canalizar;1;Cambia el tipo del Pokemon objetivo por el tipo Agua.;Cambia el tipo del Blanco por el tipo Agua.;;Otros;Elegido;0;Lanzar (25 ft);-;01 Beginner [B];Soak
M0052;Envite Acuatico;Agua;DB + 2d6;1 Ronda;2 Acciones;Destreza;Combatir;1;Provoca un da¤o de retroceso del 33% del da¤o provocado al Pokemon rival.; El Usuario pierde HP equivalente al DB;;Fisico;Elegido;0;Contacto (5ft);Recoil;02 Amateur [A];Wave Crash
M0053;Escaldar;Agua;DB + 1d8;1 Ronda;2 Acciones;Destreza;Canalizar;1;30% de quemar al rival.;"CD 14 de Quemar al rival
/r [[1d20]]";CD 14;Especial;Elegido;0;Lanzar (25 ft);Quemadura;02 Amateur [A];Scald
M0054;Gota Vital;Agua;-;1 Ronda;2 Acciones;Energia;Medicina;0;El usuario y su aliado recuperan un 6.25% de PS cada turno hasta que cae debilitado o es intercambiado.;El usuario y sus aliados recuperan 1 PS al final de cada ronda durante 5 rondas.;;Otros;Equipo;0;Area (10ft);Curacion;04 Master [M];Life Dew
M0055;Hidroariete;Agua;DB + 2d4;1 Ronda;2 Acciones;Fuerza;Combatir;1;20% de reducir un nivel la Defensa al rival.;"CD 16 de Reducir -1 VIT
/r [[1d20]]";CD 16;Fisico;Elegido;0;Contacto (5ft);-;03 Elite [E];Liquidation
M0056;Hidrobomba;Agua;DB + 1d6 + 2;2 Rondas;3 Acciones;Energia;Lanzar;-2;Ninguno.;-;;Especial;Elegido;0;Linear (20 ft);-;03 Elite [E];Hydro Pump
M0057;Hidrocañon;Agua;DB + 3d4;1 cada 3 Rondas;;Energia;Canalizar;-1;Impide al usuario usar un movimiento o ser intercambiado en el siguiente turno.;;;Especial;Elegido;0;Area;¤;Ace;Hydro Cannon
M0058;Hidrochorro;Agua;-;1 cada 2 Rondas;;Energia;Canalizar;-;Todos los ataques tipo Fuego hacen un tercio de daño durante 5 turnos.;;;Otros;Campo;0;-;-;Starter;Water Sport
M0059;Hidropulso;Agua;DB + 1d6 + 1;1 PP;2 Acciones;Destreza;Lanzar;1;20% de confundir al rival.;"CD 16 de confundir al rival
/r [[1d20]]";CD 16;Especial;Elegido;0;Lanzar (25 ft);Pulso;02 Amateur [A];Water Pulse
M0060;Hidrovapor;Agua;DB + 1d8;1 cada 2 Rondas;;Destreza;Lanzar;+1;Causa un 50% mas de daño si hace Dia Soleado, en lugar ver reducido su daño.;;;Especial;Elegido;0;Rango;-;Amateur;Hydro Steam
M0061;Martillazo;Agua;DB + 1d6 + 2;1 Ronda;2 Acciones;Destreza;Combatir;-1;Alta probabilidad de Golpe Critico.;Reduce valor critico en 1;;Fisico;Elegido;0;Contacto (5ft);Preciso;02 Amateur [A];Crabhammer
M0062;Pistola Agua;Agua;DB + 1d4 + 1;1 PP;2 Acciones;Destreza;Lanzar;1;Ninguno.;-;;Especial;Elegido;0;Larga (40 ft);-;01 Begginer [B];Water Gun
M0063;Pulpocañon;Agua;DB + 1d6 + 1;1 Ronda;2 Acciones;Destreza;Lanzar;-2;50% de reducir un nivel la Precision al rival.;"CD 10 de Reducir -1 ACC
/r [[1d20]]";CD 10;Especial;Elegido;0;Larga (40 ft);"¤; Proyectil";01 Beginner [B];Octazooka
M0064;Pulso Primigenio;Agua;DB + 1d6 + 2;1 Ronda;2 Acciones;Energia;Lanzar;-2;Ninguno.;-;;Especial;Area;0;Cono (15 ft);Pulso;05 Legend [L];Origin Pulse
M0065;Puño Jet;Agua;DB + 1d6 + 1;1 Ronda;Reaccion;Destreza;Combatir;1;Golpea primero.;Sin Efecto;;Fisico;Elegido;1;Contacto (5ft);"¤; Puño";02 Amateur [A];Jet Punch
M0066;Rayo Burbuja;Agua;DB + 1d6 + 1;1 PP;2 Acciones;Destreza;Lanzar;1;10% de reducir un nivel la Velocidad al rival.;"CD 18 de Reducir -1 DES.
/r [[1d20]]";CD 18;Especial;Elegido;0;Linear (20 ft);-;01 Beginner [B];Bubble Beam
M0067;Refugio;Agua;-;2/Ronda;;Vitalidad;Aguante;-;Aumenta un nivel la Defensa al usuario.;;;Otros;Usuario;0;-;-;Starter;Withdraw
M0068;Salmuera;Agua;DB + 1d6 + 1;1 cada 2 Rondas;;Destreza;Canalizar;+1;El poder base se duplica si el rival tiene menos de la mitad de su PS maximo.;;;Especial;Elegido;0;Rango;-;Begginer;Brine
M0069;Salpicar;Agua;DB + 3d4;1 cada 3 Rondas;;Destreza;Canalizar;+1;El poder de este movimiento sera mayor cuanto mayor el PS del usuario. El daño sera: 150 x ( PS actual / PS total ).;;;Especial;Oponentes;0;Area;-;Ace;Water Spout
M0070;Shuriken de Agua;Agua;DB;1 Ronda;1 Accion;Destreza;Lanzar;-3;Golpea de 2 a 5 veces seguidas. Golpea primero.;"Puede usarse consecutivamente; Puede usarse como reaccion";;Fisico;Elegido;2;Lanzar (25 ft);Recurrente;03 Elite [E];Water Shuriken
M0071;Surf;Agua;DB + 2d4;1 Ronda;2 Acciones;Energia;Canalizar;1;El poder base se duplica si el rival esta bajo el agua preparando un Buceo.;El poder base se duplica si el rival esta bajo el agua preparando un Buceo. Puede gastar una tercera accion para ampliar el area de efecto hasta 15 ft.;;Especial;Area;0;Area (10ft);-;03 Elite [E];Surf
M0072;Tajo Acuatico;Agua;DB + 1d8;1 PP;2 Acciones;Destreza;Combatir;1;Alta probabilidad de Golpe Critico.;Reduce valor critico en 1;;Fisico;Elegido;0;Contacto (5ft);"Corte; Preciso";03 Elite [E];Aqua Cutter
M0073;Tenaza;Agua;DB + 1d4 + 1;1 Ronda;2 Acciones;Destreza;Combatir;0;El Pokemon rival permanece atrapado de 4 a 5 turnos, recibiendo un da¤o del 12.5% del PS cada turno.;Bloquea al Blanco. Inflige 1 de Dmg al final de la Ronda;;Fisico;Elegido;-1;Contacto (5ft);Prision;01 Beginner [B];Clamp
M0074;Torbellino;Agua;DB + 1d4 + 1;1 Ronda;2 Acciones;Destreza;Canalizar;-2;El rival permanece atrapado de 4 a 5 turnos, recibiendo un da¤o del 6.25% del PS cada turno. El poder base se duplica si el rival preparando un Buceo.; Bloquea al Blanco. Inflige 1 de Dmg al final de la Ronda;;Especial;Elegido;0;Larga (40 ft);Prision;01 Beginner [B];Whirlpool
M0075;Triple Inmersion;Agua;DB + 1d4;1 cada 2 Rondas;;Destreza;Combate;;Golpea 3 veces seguidas.;;;Fisico;Elegido;0;Contacto;-;Amateur;Triple Dive
M0076;Viraje;Agua;DB + 1d6 + 1;1/Ronda;;Destreza;Acrobacia;+1;El Pokemon debe ser intercambiado tras usar este ataque. Permite escapar de trampas y pseudo-trampas.;;;Fisico;Elegido;0;Contacto;-;Amateur;Flip Turn
M0077;Voto Agua;Agua;DB + 1d8;1 cada 2 Rondas;;Destreza;Empatia;+1;Se combina con Voto Fuego y con Voto Planta.;;;Especial;Elegido;0;Rango;-;Ace;Water Pledge
M0078;A Defender;Bicho;-;1 cada 2 Rondas;;Carisma;Naturaleza;-;Aumenta un nivel la Defensa y la Defensa Especial al usuario.;;;Otros;Usuario;0;-;-;Amateur;Defend Order
M0079;Acoso;Bicho;DB + 1d4;1 PP;2 Acciones;Destreza;Canalizar;1;El Pokemon rival permanece atrapado de 4 a 5 turnos, recibiendo un da¤o del 12.5% del PS cada turno.; Bloquea al Blanco. Inflige 1 de Dmg al final de la Ronda;;Especial;Elegido;0;Lanzar (25 ft);Prision;01 Beginner [B];Infestation
M0080;Aguijon Letal;Bicho;DB + 1d6;1/Ronda;;Destreza;Combate;+1;Aumenta dos niveles el Ataque al usuario cuando este ataque debilita a un Pokemon rival.;;;Fisico;Elegido;0;Contacto;-;Amateur;Fell Stinger
M0081;Al Ataque;Bicho;DB + 2d4;1 Ronda;2 Acciones;Carisma;Naturaleza;1;Alta probabilidad de Golpe Critico.;Reduce valor critico en 1;;Fisico;Oponentes;0;Cono (15 ft);Preciso;05 Legend [L];Attack Order
M0082;Auxilio;Bicho;-;2 Rondas;2 Acciones;Carisma;Etiqueta;0;El usuario recupera el 50% de su PS maximo.;El usuario recupera PS equivalente a su Car.;;Otros;Usuario;0;Propio;Curacion;03 Elite [E];Heal Order
M0083;Bola de Polen;Bicho;DB + 2d4;2 Rondas;2 Acciones;Energia;Lanzar;1;Si el Pokemon objetivo es un aliado, este movimiento recupera el 50% de su PS maximo en lugar de hacerle da¤o.;Si el Blanco es un Aliado recupera PS equivalente a su Car.;;Especial;Elegido;0;Lanzar (25 ft);"Proyectil; Curacion";03 Elite [E];Pollen Puff
M0084;Brinco;Bicho;DB + 1d6;1/Ronda;;Destreza;Acrobacia;+1;Baja un nivel la Velocidad al rival.;;;Fisico;Elegido;0;Contacto;-;Begginer;Pounce
M0085;Chupavidas;Bicho;DB + 1d8;1 Ronda;2 Acciones;Destreza;Empatia;1;El usuario recupera PS equivalente a la mitad del da¤o causado.;El usuario recupera PS equivalente a la mitad del Dmg causado.;;Fisico;Elegido;0;Contacto (5ft);Drenaje;03 Elite [E];Leech Life
M0086;Corte Furia;Bicho;DB + 1d4 + 1;1 PP;2 Acciones;Destreza;Combatir;0;Por cada turno que el ataque sea usado y acierte, su poder base se dobla, pero solo durante 4 turnos. Puedes usar otros movimientos entre medias sin perder el bonus.;El Dmg de este movimiento aumenta 1d4 por cada ronda consecutiva sin fallar (Max 5d4);;Fisico;Elegido;0;Contacto (5ft);"Corte; Creciente";02 Amateur [A];Fury Cutter
M0087;Danza Aleteo;Bicho;-;1 PP;3 Acciones;Carisma;Presentar;0;Aumenta un nivel el Ataque Especial, la Defensa Especial y la Velocidad al usuario.; Aumenta +1 ENE, SAB y DES;;Otros;Usuario;0;Propio;Danza;03 Elite [E];Quiver Dance
M0088;Disparo Demora;Bicho;-;2/Ronda;;Sabiduria;Naturaleza;;Baja un nivel la Velocidad al rival.;;;Otros;Oponentes;0;-;-;Starter;String Shot
M0089;Doble Ataque;Bicho;DB + 1d4 + 1;1 Ronda;1 Accion;Destreza;Combatir;-2;20% de envenenar al rival. Golpea 2 veces seguidas.;"CD 16 de Envenenar al rival; Puede usarse hasta 2 veces por Ronda
/r [[1d20]]";CD 16;Fisico;Elegido;0;Lanzar (25 ft);"Recurrente; Veneno";02 Amateur [A];Twineedle
M0090;Escaramuza;Bicho;DB + 2d4;1 cada 2 Rondas;;Fuerza;Persuacion;+1;Golpea primero. Solo puede ser utilizado con exito el primer turno de ataque del usuario tras ser intercambiado.;;;Fisico;Elegido;3;Contacto;-;Begginer;First Impression
M0091;Estoicismo;Bicho;DB + 1d6;1/Ronda;;Destreza;Combate;+1;100% de reducir un nivel el Ataque Especial al rival.;;;Especial;Elegido;0;Rango;-;Begginer;Struggle Bug
M0092;Golpe Rastrero;Bicho;DB + 1d8;1 Ronda;2 Acciones;Destreza;Combatir;-1;Baja un nivel el Ataque Especial al rival.;Reduce -1 ENE;;Fisico;Elegido;0;Contacto (5ft);-;02 Amateur [A];Skitter Smack
M0093;Ida y Vuelta;Bicho;DB + 1d8;1/Ronda;;Destreza;Acrobacia;+1;El Pokemon debe ser intercambiado tras usar este ataque. Permite escapar de trampas y pseudo-trampas.;;;Fisico;Elegido;0;Contacto;-;Amateur;U-turn
M0094;Luminicola;Bicho;-;1/Ronda;;Sabiduria;Naturaleza;-;Aumenta tres niveles el Ataque Especial al usuario.;;;Otros;Usuario;0;-;-;Begginer;Tail Glow
M0095;Megacuerno;Bicho;DB + 2d6;1 Ronda;2 Acciones;Fuerza;Combatir;-1;Ninguno.;-;;Fisico;Elegido;0;Contacto (5ft);-;04 Master [M];Megahorn
M0096;Picadura;Bicho;DB + 1d6 + 1;1/Ronda;;Destreza;Combate;+1;Si el rival lleva una Baya equipada, el usuario se la coge y la usa en ese instante. Kouba se activa y reduce el daño de este ataque. La Baya se puede recuperar con Reciclaje.;;;Fisico;Elegido;0;Contacto;-;Begginer;Bug Bite
M0097;Pin Misil;Bicho;DB + 1d4;1 Ronda;1 Accion;Destreza;Lanzar;-2;Golpea de 2 a 5 veces seguidas.;Puede usarse consecutivamente;;Fisico;Elegido;0;Lanzar (25 ft);Recurrente;02 Amateur [A];Pin Missile
M0098;Plancha;Bicho;DB + 1d8;1 Ronda;2 Acciones;Destreza;Combatir;1;100% de reducir un nivel el Ataque al rival.;Reduce -1 FUE;;Fisico;Elegido;0;Contacto (5ft);-;02 Amateur [A];Lunge
M0099;Polvo Explosivo;Bicho;-;4 PP;Reaccion;Sabiduria;Naturaleza;0;Provoca que el rival se haga da¤o a si mismo si usa un ataque de tipo Fuego ese mismo turno.;Cancela un movimiento de Tipo fuego haciendo que estalle causando 2 de Dmg de Tipo Fuego en un area centrada en el blanco con dificultad igual a la precision de este movimiento.;;Otros;Elegido;4;Lanzar (25 ft);"Polvo; Escudo";04 Master [M];Powder
M0100;Polvo Ira;Bicho;-;1/Ronda;;Sabiduria;Naturaleza;-;En batallas 2vs2, los ataques que usen los Pokemon rivales ese turno golpearan al usuario, ignorando la eleccion de su entrenador. No afecta a los ataques con mas de un objetivo.;;;Otros;Usuario;3;-;Polvo;Amateur;Rage Powder
M0101;Rayo Señal;Bicho;DB + 1d8;1 Ronda;2 Acciones;Energia;Lanzar;1;10% de confundir al rival.;"CD 18 de confundir al Rival
/r [[1d20]]";CD 18;Especial;Elegido;0;Linear (20 ft);¤;02 Amateur [A];Signal Beam
M0102;Red Viscosa;Bicho;-;1 PP;1 Accion;Sabiduria;Sigilo;0;El Pokemon que salga a luchar vera reducida su Velocidad en un nivel. No afecta a Pokemon voladores o levitadores.;"Esparce seda en el campo con CD igual a la precision obtenida, las cuales causan 1 de Dmg de tipo Bicho al moverse sobre ellas sin evitarlas. Reduce -1 DES
/r [[1d3]]";;Otros;Campo;0;Campo (50 ft);Trampa;03 Elite [E];Sticky Web
